Date,truth,pred
2018-04-10,13.78,15.000561168737185
2018-04-11,58.98,53.56955190239889
2018-04-12,50.79,48.65003961259813
2018-04-13,53.81,58.6780318929053
2018-04-14,42.5,44.812893915086214
2018-04-15,50.87,41.51005065842757
2018-04-16,10.38,15.75435570753276
2018-04-17,31.06,37.4735780951451
2018-04-18,44.48,44.925803661726725
2018-04-19,32.08,33.13954310349556
2018-04-20,31.53,35.512804939981244
2018-04-21,45.12,49.51751884715145
2018-04-22,66.42,65.49772141434167
2018-04-23,63.38,71.63744279838565
2018-04-24,67.13,60.00403276340163
2018-04-25,75.89,59.640332603721525
2018-04-26,54.83,56.072189830251645
2018-04-27,69.5,60.16264924037775
2018-04-28,35.61,40.5924425071986
2018-04-29,31.58,31.842783255253252
2018-04-30,8.84,11.384514280548359
2018-05-01,8.13,11.499751348213334
2018-05-02,32.8,36.05380356025449
2018-05-03,30.85,39.479558198126014
2018-05-04,52.36,45.69843205186623
2018-05-05,21.25,20.578163148968514
2018-05-06,16.55,19.15034638383385
2018-05-07,26.32,38.56084158730528
2018-05-08,23.02,25.340809054343808
2018-05-09,5.56,4.720635908407422
2018-05-10,27.83,33.47301176527637
2018-05-11,60.72,51.14825720352993
2018-05-12,42.38,59.6739294730427
2018-05-13,13.37,17.820922445275386
2018-05-14,11.04,10.406363934150896
2018-05-15,7.78,9.148230746396344
2018-05-16,42.24,39.096026588284936
2018-05-17,55.77,44.21992967182673
2018-05-18,37.91,29.741825350772018
2018-05-19,11.66,13.1594085128621
2018-05-20,17.82,8.149517375534344
2018-05-21,39.66,44.77603957853353
2018-05-22,62.79,47.5914478026161
2018-05-23,25.08,29.73202044267287
2018-05-24,16.92,20.521806540030198
2018-05-25,46.39,58.928497386629594
2018-05-26,71.49,64.83310246960346
2018-05-27,68.76,68.35782649148248
2018-05-28,12.67,14.79250629380148
2018-05-29,19.65,17.941429908863764
2018-05-30,37.91,45.64268552257194
2018-05-31,15.28,15.138614724376332
2018-06-01,70.51,76.83282314598594
2018-06-02,29.61,30.31188179905015
2018-06-03,57.66,70.84467035490133
2018-06-04,43.36,51.27933891122604
2018-06-05,22.47,27.598657394688182
2018-06-06,9.76,11.36004762611994
2018-06-07,72.66,67.74152636742488
2018-06-08,31.7,36.30225260736393
2018-06-09,24.87,25.237484675417384
2018-06-10,65.76,59.87170700665265
2018-06-11,13.08,17.28635894521568
2018-06-12,50.78,53.34005495871048
2018-06-13,12.01,14.333233670927399
2018-06-14,89.48,50.53703900257737
2018-06-15,43.83,48.458082493404234
2018-06-16,24.59,22.271038283782552
2018-06-17,25.01,24.423779095171753
2018-06-18,43.43,46.04955138150092
2018-06-19,57.86,42.678156871822495
2018-06-20,12.96,14.342379699398915
2018-06-21,35.62,41.069731242062595
2018-06-22,44.73,45.56130601528406
2018-06-23,60.51,65.41813674192076
2018-06-24,59.04,52.63868507986089
2018-06-25,10.24,13.614918729680248
2018-06-26,26.09,27.817907388001437
2018-06-27,10.31,17.850837273123883
2018-06-28,18.51,16.906425438122238
2018-06-29,22.29,23.909616795521515
2018-06-30,53.11,58.860435143175174
2018-07-01,75.15,68.03026454174048
2018-07-02,17.19,11.027414302260162
2018-07-03,65.91,59.88120863446718
2018-07-04,67.37,67.23953869530686
2018-07-05,26.04,37.32744971251012
2018-07-06,41.03,37.95322563545297
2018-07-07,39.28,39.478589992634944
2018-07-08,52.91,56.68590438064526
2018-07-09,43.52,46.20848438677494
2018-07-10,60.2,52.62510105663794
2018-07-11,73.6,70.4706334776755
2018-07-12,59.35,76.47090113923997
2018-07-13,21.73,20.11726608435103
2018-07-14,50.22,57.32852799216683
2018-07-15,41.93,48.78908763424211
2018-07-16,69.44,68.21854344626871
2018-07-17,53.78,49.02244540762925
2018-07-18,25.6,21.582474602526954
2018-07-19,61.28,50.21180386462495
2018-07-20,63.41,64.5090921598111
2018-07-21,61.33,74.03667053286526
2018-07-22,61.0,55.03782411503241
2018-07-23,112.35,73.15236643685554
2018-07-24,20.54,22.39214327687732
2018-07-25,47.44,53.679381491562744
2018-07-26,39.78,44.705012147555045
2018-07-27,12.34,12.177210199600239
2018-07-28,42.69,62.49285463660127
2018-07-29,56.14,50.24021055714701
2018-07-30,30.8,32.531330837359334
2018-07-31,34.45,39.637503980908704
2018-08-01,74.29,77.51246719486855
2018-08-02,12.51,14.225658537669325
2018-08-03,75.72,77.50129323693537
2018-08-04,16.99,12.940274936590676
2018-08-05,61.66,58.28939546746526
2018-08-06,88.14,66.81764434664245
2018-08-07,32.57,43.95245344105247
2018-08-08,134.61,81.97141980369659
2018-08-09,14.77,18.389474964095744
