Date,PM2.5,Benzene,CO,NH3,NO,NO2,NOx,O3,PM10,SO2,Toluene,Xylene
2019-09-17,23.12,,1.52,34.63,13.38,38.58,31.4,41.86,43.95,10.53,,
2019-09-18,21.25,,1.38,44.14,16.08,37.81,33.18,24.7,38.2,8.95,,
2019-09-19,16.94,,0.95,47.43,12.94,25.28,23.96,31.66,41.09,8.08,,
2019-09-20,15.29,,0.95,42.29,11.93,26.05,23.56,30.93,43.1,7.52,,
2019-09-21,20.75,,1.41,46.25,14.9,30.9,28.55,27.19,62.7,7.31,,
2019-09-22,11.21,,1.16,44.52,12.44,25.74,23.8,38.87,42.45,5.82,,
2019-09-23,11.81,,1.07,48.42,11.05,25.81,22.72,32.97,44.21,5.34,,
2019-09-24,17.7,,1.18,40.42,9.59,28.48,22.95,38.57,53.29,4.96,,
2019-09-25,20.41,,1.11,46.34,10.74,28.75,24.02,36.42,50.27,7.96,,
2019-09-26,17.21,,1.05,47.0,14.75,27.96,26.86,28.2,31.31,9.32,,
2019-09-27,12.65,,0.84,50.15,9.57,20.58,18.72,29.49,31.54,9.64,,
2019-09-28,3.4,,0.64,47.07,8.05,14.11,14.05,37.28,16.32,6.72,,
2019-09-29,7.23,,0.66,51.91,10.21,17.12,17.41,28.85,27.84,5.91,,
2019-09-30,8.7,,0.7,46.82,13.93,22.35,23.21,26.74,36.97,8.9,,
2019-10-01,6.53,,0.71,42.77,7.3,13.46,13.09,43.46,21.31,7.08,,
2019-10-02,20.86,,0.87,37.95,10.44,27.86,23.31,50.24,72.34,7.08,,
2019-10-03,24.92,,0.75,37.23,7.92,34.15,24.6,66.15,106.41,9.36,,
2019-10-04,28.1,,1.04,36.82,9.29,33.99,25.63,65.06,122.06,8.53,,
2019-10-05,26.41,,1.01,40.41,12.64,36.45,28.3,63.02,99.6,8.38,,
2019-10-06,32.5,,1.19,16.79,10.19,34.81,26.8,40.2,90.64,9.9,,
2019-10-07,39.74,,1.45,17.08,16.9,38.5,34.22,40.72,102.93,8.29,,
2019-10-08,52.66,,1.26,18.88,6.13,34.1,23.13,77.47,130.64,11.29,,
2019-10-09,36.92,,0.83,13.56,3.78,32.53,20.39,79.94,114.12,12.3,,
2019-10-10,42.55,,1.05,15.13,10.57,43.5,31.74,66.05,126.36,10.09,,
2019-10-11,53.12,,0.96,17.43,10.0,38.56,28.64,57.36,155.77,7.99,,
2019-10-12,48.92,,1.37,15.28,17.8,56.37,44.45,61.57,175.24,10.03,,
2019-10-13,55.86,,1.47,19.45,30.94,61.95,58.11,63.59,199.68,9.7,,
2019-10-14,44.56,,0.88,16.73,5.46,33.55,22.29,86.69,159.02,10.87,,
2019-10-15,49.07,,0.96,19.9,9.73,47.42,33.14,71.97,160.57,10.06,,
2019-10-16,53.62,,1.03,19.78,20.64,46.41,41.46,69.49,185.45,10.75,,
2019-10-17,60.57,,1.11,19.13,25.18,44.07,43.92,68.71,168.04,11.46,,
2019-10-18,69.65,,1.5,22.23,15.09,54.27,41.14,62.63,176.36,8.69,,
2019-10-19,70.39,,0.99,19.85,3.82,29.21,18.64,59.11,152.01,13.41,,
2019-10-20,86.57,,1.18,19.25,8.05,41.02,28.36,44.4,141.8,13.41,,
2019-10-21,98.98,,1.17,20.61,7.72,41.72,28.46,45.51,163.5,8.65,,
2019-10-22,84.03,,1.3,19.0,9.42,52.3,35.47,46.25,176.99,9.64,,
2019-10-23,49.01,,1.09,16.1,9.07,45.9,31.79,51.28,115.92,9.81,,
