Date,PM2.5,Benzene,CO,NH3,NO,NO2,NOx,O3,PM10,SO2,Toluene,Xylene
2015-01-01,313.22,14.36,15.2,33.85,69.16,36.39,110.59,41.68,607.98,9.25,24.86,9.84
2015-01-02,186.18,10.55,9.54,31.83,62.09,32.87,88.14,29.97,269.55,6.65,20.09,4.29
2015-01-03,87.18,3.91,10.61,69.55,25.73,30.31,47.95,19.71,131.9,2.65,10.23,1.99
2015-01-04,151.84,4.26,11.54,130.36,25.01,36.91,48.62,25.36,241.84,4.63,9.71,3.34
2015-01-05,146.6,2.8,9.2,122.88,14.01,34.92,38.25,23.2,219.13,3.33,6.21,2.96
2015-01-06,149.58,3.63,9.44,134.97,17.21,37.84,42.46,26.83,252.1,3.66,7.35,3.47
2015-01-07,217.87,4.93,9.78,134.82,26.99,40.15,52.41,28.96,376.51,5.82,9.42,5.21
2015-01-08,229.9,5.8,11.01,138.13,23.34,43.16,51.21,30.51,360.95,3.31,11.4,4.83
2015-01-09,201.66,5.25,11.09,140.6,19.18,38.56,45.6,32.94,397.43,3.48,11.12,5.26
2015-01-10,221.02,4.87,9.7,134.06,24.79,46.39,55.19,34.12,361.74,5.91,9.44,4.76
2015-01-11,205.41,5.93,10.98,131.1,28.46,47.29,57.88,50.37,393.2,5.54,10.59,5.36
2015-01-12,212.41,6.2,9.3,148.51,24.77,44.71,54.66,40.08,345.63,5.17,10.68,4.59
2015-01-13,197.61,5.18,11.52,145.48,34.28,45.88,62.95,39.54,301.04,5.95,9.5,4.17
2015-01-14,164.39,4.57,10.32,166.7,20.78,41.17,48.09,42.05,227.38,4.85,10.72,3.06
2015-01-15,166.19,6.98,10.81,124.64,47.91,56.7,79.73,43.25,283.93,6.94,20.55,3.08
2015-01-16,174.98,7.75,11.46,136.4,42.33,49.41,70.6,34.7,309.99,4.69,15.83,3.75
2015-01-17,196.46,9.92,8.87,125.49,42.18,53.04,80.18,25.77,356.2,5.13,17.59,3.36
2015-01-18,201.51,9.0,8.99,120.45,45.51,53.77,75.83,23.22,359.75,5.43,20.95,4.03
2015-01-19,183.35,5.57,9.02,148.49,27.32,39.88,55.67,25.34,305.13,4.21,12.93,3.62
2015-01-20,165.63,3.42,8.03,146.31,16.47,34.23,37.68,22.69,257.04,4.11,6.76,3.28
2015-01-21,159.54,4.1,9.01,63.23,12.27,22.56,33.02,18.56,235.27,7.05,8.26,2.72
2015-01-22,143.68,4.15,10.58,39.65,14.75,21.82,34.88,6.94,183.89,8.64,9.54,2.78
2015-01-23,128.73,2.51,8.74,39.98,11.99,17.35,29.46,10.91,136.07,6.77,7.64,2.49
2015-01-24,164.98,2.6,9.39,38.77,10.38,15.77,25.49,9.35,200.02,8.89,5.5,2.94
2015-01-25,148.59,3.37,11.44,45.62,11.82,20.83,28.29,16.65,203.81,5.96,6.98,2.94
2015-01-26,129.34,3.0,10.19,60.96,12.46,25.66,29.48,18.18,137.86,6.78,5.87,2.51
2015-01-27,154.2,3.31,10.36,40.96,14.41,30.39,34.63,17.11,217.2,6.42,6.31,3.07
2015-01-28,134.6,3.27,10.21,49.71,18.96,28.6,35.57,15.23,156.9,5.21,6.86,2.63
2015-01-29,173.13,4.02,11.74,62.03,23.14,38.34,48.89,16.29,277.0,5.53,9.84,3.42
2015-01-30,178.04,3.65,11.58,69.78,19.8,38.43,44.45,14.91,272.61,6.43,6.61,3.35
2015-01-31,158.59,4.36,8.7,67.66,30.67,41.36,57.77,17.51,207.06,5.03,8.98,2.54
2015-02-01,211.59,6.65,13.08,96.69,57.56,58.17,93.17,23.28,371.05,9.9,15.45,3.36
2015-02-02,163.64,2.53,10.59,84.49,13.7,37.25,39.34,28.38,219.84,5.31,4.69,2.58
2015-02-03,157.71,2.13,8.21,66.38,12.28,31.05,34.1,28.56,194.09,5.64,4.24,1.12
2015-02-04,137.26,3.04,9.11,53.28,15.21,29.69,36.06,15.07,147.08,5.06,6.31,2.79
2015-02-05,131.76,4.92,8.18,51.24,23.15,36.51,47.4,21.7,127.42,4.85,10.17,3.33
