Date,PM2.5,Benzene,CO,NH3,NO,NO2,NOx,O3,PM10,SO2,Toluene,Xylene
2019-02-16,124.77,,,,,,,,187.08,,,
2019-02-17,50.82,1.07,0.48,29.24,4.03,9.3,16.56,17.67,118.01,14.03,,
2019-02-18,58.31,0.88,0.47,23.6,3.67,10.82,17.63,33.85,85.39,14.47,,
2019-02-19,59.88,1.0,0.51,19.03,3.16,9.65,15.51,41.23,78.04,16.42,,
2019-02-20,55.61,0.98,0.49,16.68,2.89,11.71,17.3,44.89,92.36,27.07,,
2019-02-21,83.66,2.29,1.09,17.55,15.72,13.63,40.44,43.69,134.1,25.9,,
2019-02-22,141.8,3.88,1.52,23.72,58.55,21.87,119.49,32.2,243.91,23.99,,
2019-02-23,133.26,3.43,1.13,23.86,48.9,19.93,101.61,36.21,219.95,25.62,,
2019-02-24,69.9,1.33,0.54,23.12,12.51,10.49,31.77,21.58,114.89,18.96,,
2019-02-25,129.88,4.4,1.8,24.91,30.44,24.76,76.53,20.15,234.82,19.02,,
2019-02-26,94.29,2.93,1.11,28.03,47.75,17.65,97.08,16.98,173.04,16.71,,
2019-02-27,60.89,1.38,0.64,27.84,11.36,13.79,33.42,30.81,98.85,17.6,,
2019-02-28,62.0,1.31,0.67,25.34,6.13,11.73,22.6,19.09,76.05,15.72,,
2019-03-01,69.01,2.09,0.85,22.89,18.25,11.5,42.29,18.39,104.75,16.11,,
2019-03-02,89.55,2.94,1.06,18.52,38.49,18.77,83.29,36.19,152.36,22.36,,
2019-03-03,106.89,3.54,1.26,18.98,50.2,18.6,102.36,29.67,199.74,21.78,,
2019-03-04,97.6,7.08,0.92,21.65,42.72,15.4,86.63,30.05,185.68,16.91,,
2019-03-05,68.21,1.49,0.62,18.33,3.1,9.74,15.53,47.8,119.93,20.25,,
2019-03-06,63.29,1.22,0.54,21.26,4.3,10.2,17.98,43.86,90.92,19.66,,
2019-03-07,74.81,3.0,0.85,23.67,17.25,15.01,44.42,25.03,112.75,16.5,,
2019-03-08,104.14,4.46,1.19,24.09,44.55,21.06,95.72,24.21,177.76,19.3,,
2019-03-09,116.75,4.07,1.19,23.52,49.98,21.55,105.15,18.93,206.29,18.87,,
2019-03-10,124.9,2.61,1.09,21.46,32.68,19.23,74.24,46.36,237.1,24.61,,
2019-03-11,124.94,3.21,1.31,23.91,33.84,17.73,74.55,37.83,213.84,23.78,,
2019-03-12,123.34,3.65,0.99,25.52,43.05,16.95,88.79,48.98,206.87,23.95,,
2019-03-13,100.41,2.2,1.03,19.71,14.3,21.98,47.03,47.36,187.83,21.27,,
2019-03-14,138.45,3.22,1.29,22.77,41.09,30.42,100.02,41.21,258.63,23.2,,
2019-03-15,138.03,2.87,1.23,27.43,37.55,24.74,88.13,31.23,280.4,20.42,,
2019-03-16,131.69,2.24,1.03,26.43,26.94,23.71,69.62,17.1,322.56,17.5,,
2019-03-17,105.33,3.42,1.12,24.28,13.36,24.87,48.6,34.22,191.58,21.56,,
2019-03-18,153.22,3.73,1.61,25.47,43.03,31.59,104.49,28.29,269.54,27.63,,
2019-03-19,91.58,1.77,0.9,25.42,16.57,16.31,44.67,46.73,145.24,21.79,,
2019-03-20,66.5,1.54,0.82,21.3,8.26,15.9,30.58,42.59,100.2,20.72,,
2019-03-21,73.33,4.3,0.59,17.6,6.29,12.45,23.67,59.44,200.77,22.51,,
2019-03-22,53.17,0.75,0.4,14.5,2.47,8.41,13.07,65.28,244.18,24.26,,
2019-03-23,67.46,1.51,0.72,14.17,4.0,12.05,19.48,43.92,139.67,24.23,,
2019-03-24,70.83,1.74,0.86,14.97,9.08,14.69,30.63,49.96,143.99,26.9,,
2019-03-25,118.05,2.59,1.21,18.56,39.03,26.61,92.58,47.1,236.55,25.51,,
2019-03-26,119.32,2.27,1.12,23.34,33.81,24.83,82.09,34.24,225.03,24.25,,
2019-03-27,62.29,1.08,0.67,22.19,3.88,10.6,17.76,30.71,87.81,17.84,,
2019-03-28,79.69,1.84,0.93,22.37,15.8,18.47,45.75,41.97,138.38,21.41,,
2019-03-29,114.47,3.22,1.26,25.66,44.78,29.01,104.59,34.37,203.18,23.39,,
2019-03-30,140.62,3.34,1.26,25.77,23.24,23.92,63.81,26.71,225.28,34.54,,
2019-03-31,48.63,0.91,0.5,23.15,3.37,11.86,18.25,45.26,64.89,19.19,,
2019-04-01,35.72,1.26,0.76,17.19,5.84,11.66,22.08,43.8,50.06,18.67,,
2019-04-02,58.96,1.34,0.76,18.8,12.89,14.85,37.05,36.43,91.04,22.37,,
2019-04-03,23.13,0.63,0.43,14.1,2.57,13.17,18.32,63.06,153.45,26.11,,
2019-04-04,29.99,0.65,0.37,13.07,2.54,11.69,16.7,55.27,62.01,32.4,,
2019-04-05,25.78,7.07,0.46,12.53,3.58,12.24,19.01,45.95,36.21,18.57,,
2019-04-06,56.1,1.54,0.74,13.76,9.85,15.92,33.23,32.52,82.28,19.42,,
2019-04-07,43.93,0.88,0.64,14.9,9.78,13.05,30.04,36.2,69.9,22.18,,
2019-04-08,28.95,4.3,0.48,13.98,4.23,11.5,19.28,38.96,40.1,17.93,,
2019-04-09,30.06,0.93,0.56,12.78,5.18,14.44,23.96,30.94,40.09,16.14,,
2019-04-10,37.76,1.42,0.75,12.7,12.41,14.69,36.13,43.24,67.42,17.21,,
2019-04-11,66.63,1.73,1.03,17.3,29.45,18.87,68.61,36.44,135.87,21.65,,
2019-04-12,79.26,2.06,0.95,16.62,22.78,25.1,64.26,40.9,153.64,20.12,,
2019-04-13,85.8,1.47,0.88,16.31,12.13,25.11,46.8,41.0,141.6,19.03,,
2019-04-14,51.4,1.12,0.59,13.48,5.16,19.16,29.0,41.84,76.17,18.75,,
2019-04-15,47.34,0.97,0.66,10.45,3.98,16.23,23.92,33.38,61.7,17.31,,
2019-04-16,42.85,1.02,0.55,9.93,3.8,16.64,24.06,44.77,56.26,16.33,,
2019-04-17,87.16,19.37,0.84,10.46,11.34,18.99,38.95,39.13,110.57,17.26,,
2019-04-18,58.84,82.72,0.78,14.55,18.52,13.0,44.3,23.46,108.28,16.8,,
2019-04-19,58.98,1.47,0.8,13.91,10.25,16.64,34.65,36.7,108.56,17.35,,
2019-04-20,52.39,0.84,0.52,12.75,3.93,12.81,20.17,52.49,99.12,17.64,,
2019-04-21,36.8,0.92,0.54,11.27,3.35,12.7,19.12,54.43,55.86,20.37,,
2019-04-22,42.87,1.22,0.59,11.48,4.9,15.48,24.64,54.18,61.08,21.73,,
2019-04-23,56.03,2.4,0.8,10.86,25.1,22.46,65.24,46.95,88.14,17.64,,
2019-04-24,76.74,3.43,1.0,11.7,37.94,31.12,95.62,19.6,133.16,18.26,,
2019-04-25,96.66,2.37,1.15,14.22,38.54,31.38,96.88,21.58,168.91,17.29,,
2019-04-26,88.27,0.0,0.92,15.11,29.86,35.39,86.91,26.83,149.31,16.88,,
2019-04-27,57.55,0.0,0.58,14.18,10.92,17.36,36.49,47.07,87.53,16.95,,
2019-04-28,32.5,0.0,0.47,10.07,2.37,10.65,15.29,39.65,39.5,18.21,,
2019-04-29,24.68,0.26,0.42,7.5,2.5,11.02,15.9,40.92,36.05,18.79,,
2019-04-30,13.68,0.53,0.36,7.8,2.0,8.73,12.61,45.86,21.96,23.19,,
2019-05-01,9.62,0.44,0.35,7.04,1.93,7.25,10.96,44.3,14.5,22.41,,
2019-05-02,28.45,0.56,0.58,7.02,5.84,14.02,24.56,40.96,46.41,22.91,,
2019-05-03,21.9,0.21,0.28,7.21,4.18,7.0,14.37,38.57,37.94,28.51,,
2019-05-04,916.67,86.24,0.23,99.42,37.7,13.57,69.67,51.3,1000.0,48.03,,
2019-05-05,59.86,19.51,0.9,37.06,13.12,15.11,33.71,21.49,91.04,31.51,,
2019-05-06,51.38,0.67,0.81,17.89,6.08,17.0,28.18,24.48,87.31,23.26,,
2019-05-07,40.8,0.49,0.56,15.17,9.73,15.16,32.22,55.57,77.72,25.18,,
2019-05-08,25.83,0.3,0.36,10.98,1.8,9.28,12.9,62.95,56.37,19.51,,
2019-05-09,27.82,0.29,0.38,8.96,1.53,8.06,11.16,67.62,44.86,19.39,,
2019-05-10,20.83,0.37,0.39,7.62,1.59,8.33,11.54,66.8,44.79,19.61,,
2019-05-11,23.05,0.4,0.43,7.66,1.92,9.44,13.27,55.16,38.97,19.7,,
2019-05-12,33.35,0.46,0.57,8.63,2.48,10.32,15.13,35.5,57.32,19.81,,
2019-05-13,65.01,0.37,0.49,12.61,4.49,13.27,19.4,47.25,85.31,19.73,,
2019-05-14,28.15,1.42,0.44,14.18,3.0,11.58,17.32,62.12,43.75,19.46,,
2019-05-15,19.79,0.35,0.45,10.74,1.78,12.33,16.15,66.56,31.95,18.08,,
2019-05-16,24.78,0.4,0.47,8.53,2.31,11.17,15.77,51.65,42.72,17.77,,
2019-05-17,22.83,0.22,0.51,8.09,3.17,14.25,20.49,52.04,34.43,17.12,,
2019-05-18,21.29,0.31,0.42,7.43,2.18,9.06,13.28,56.76,33.06,16.41,,
2019-05-19,43.79,0.47,0.78,7.09,4.43,12.25,20.41,35.22,68.51,16.44,,
2019-05-20,37.7,0.3,0.61,9.71,9.4,15.82,32.38,53.11,67.11,16.15,,
2019-05-21,31.53,3.21,0.54,8.7,3.61,13.08,19.94,46.88,52.71,15.87,,
2019-05-22,26.94,0.22,0.44,8.33,2.99,10.37,16.01,45.87,43.89,15.73,,
2019-05-23,13.59,0.21,0.4,8.69,2.23,10.73,15.16,51.75,22.87,15.89,,
2019-05-24,11.79,0.16,0.36,8.06,1.72,9.53,13.04,62.69,60.02,15.81,,
2019-05-25,18.92,0.23,0.55,5.01,3.27,12.52,18.78,39.05,626.63,15.47,,
2019-05-26,34.57,0.48,0.79,5.68,13.08,17.89,40.64,29.29,492.89,15.69,,
2019-05-27,27.48,0.35,0.66,7.03,13.17,17.05,39.87,47.42,47.82,15.93,,
2019-05-28,21.41,0.2,0.5,5.97,3.32,12.81,19.17,43.42,37.36,16.01,,
2019-05-29,43.72,0.48,0.79,5.93,14.81,18.48,44.13,35.31,81.41,16.31,,
2019-05-30,41.37,9.94,0.75,7.31,17.55,21.24,51.58,51.37,83.59,16.45,,
2019-05-31,26.04,0.28,0.54,6.2,6.58,18.76,30.9,54.01,44.89,16.06,,
2019-06-01,41.11,0.59,0.81,6.11,16.05,21.67,49.55,37.43,75.12,16.49,,
2019-06-02,60.98,0.56,0.89,6.24,22.75,21.15,59.98,27.05,110.62,16.61,,
2019-06-03,25.38,0.27,0.46,6.51,2.06,11.09,15.26,45.13,42.39,16.25,,
2019-06-04,12.52,0.25,0.37,6.66,3.09,11.44,17.34,42.61,21.47,16.17,,
2019-06-05,17.31,0.47,0.45,4.76,3.14,9.15,14.94,35.34,34.47,16.17,,
2019-06-06,30.62,0.35,0.48,4.89,3.86,13.14,20.4,26.23,86.21,16.34,,
2019-06-07,27.55,0.43,0.6,7.96,6.05,12.89,23.72,33.25,59.02,16.5,,
2019-06-08,12.76,0.19,0.4,9.85,2.89,6.72,11.94,28.39,21.4,16.83,,
2019-06-09,19.87,0.32,0.4,9.92,6.06,8.81,19.4,25.78,31.33,16.85,,
2019-06-10,20.31,0.36,0.5,9.98,9.79,10.66,27.48,17.28,38.23,14.04,,
2019-06-11,25.53,0.34,0.53,10.74,4.31,13.11,21.11,3.18,41.4,10.42,,
2019-06-12,36.68,0.3,0.68,11.22,9.54,18.64,35.62,3.23,72.67,10.68,,
2019-06-13,47.66,0.4,0.58,10.16,11.8,16.46,37.01,2.93,87.66,10.53,,
2019-06-14,17.68,0.4,0.44,9.28,6.87,13.25,25.47,1.8,31.6,10.44,,
2019-06-15,24.04,0.38,0.54,8.16,3.38,9.73,15.98,3.32,40.88,10.49,,
2019-06-16,25.93,0.32,0.52,8.27,3.0,11.79,17.53,3.79,43.13,10.56,,
2019-06-17,34.51,0.38,0.53,6.8,2.2,13.27,17.82,3.63,49.9,10.55,,
2019-06-18,33.51,0.39,0.61,6.04,4.68,15.51,24.31,3.15,55.87,10.6,,
2019-06-19,55.23,0.41,0.74,7.67,13.86,22.06,46.37,2.58,102.95,10.57,,
2019-06-20,40.38,0.25,0.7,8.73,10.12,16.77,34.58,1.79,77.63,10.55,,
2019-06-21,33.32,3.42,0.77,9.3,13.84,15.6,39.42,1.29,63.97,10.57,,
2019-06-22,27.98,0.25,0.61,8.4,6.1,11.32,22.16,2.04,50.76,10.56,,
2019-06-23,19.01,0.16,0.35,7.31,1.61,6.61,9.74,4.39,35.11,10.64,,
2019-06-24,23.66,0.2,0.38,12.36,2.36,9.02,13.53,5.01,43.56,11.33,,
2019-06-25,30.18,0.61,0.48,15.17,8.69,14.71,30.0,3.19,57.35,11.6,,
2019-06-26,18.59,0.26,0.44,9.14,2.16,10.41,14.69,2.94,29.17,10.59,,
2019-06-27,18.79,0.5,0.46,8.35,2.24,8.46,12.74,2.2,25.88,10.63,,
2019-06-28,29.61,33.25,0.58,6.99,4.86,14.92,23.96,2.04,43.21,10.65,,
2019-06-29,22.27,0.74,0.51,6.28,5.93,12.56,23.19,1.98,34.39,10.73,,
2019-06-30,32.27,0.58,0.66,5.52,11.91,14.26,34.84,2.31,60.43,10.79,,
2019-07-01,33.01,0.54,0.63,5.57,19.65,16.5,49.9,2.14,62.82,10.86,,
2019-07-02,13.73,3.86,0.38,6.07,3.66,9.45,16.12,1.97,27.33,10.65,,
2019-07-03,12.9,3.86,0.34,5.19,4.91,9.95,18.74,1.5,25.28,10.78,,
2019-07-04,15.47,0.5,0.42,4.53,2.88,9.96,15.36,4.22,32.63,10.7,,
2019-07-05,21.1,0.05,0.51,5.7,5.24,12.65,22.14,13.59,43.36,10.59,,
2019-07-06,7.74,0.04,0.3,4.99,4.13,10.04,17.54,21.24,75.98,10.37,,
2019-07-07,5.39,,0.25,3.85,1.99,6.5,10.24,21.89,10.53,10.25,,
2019-07-08,10.63,20.5,0.27,3.68,3.84,6.73,13.49,20.61,76.75,10.27,,
2019-07-09,169.55,61.62,0.39,20.94,14.34,9.5,32.51,22.13,491.54,9.32,,
2019-07-10,85.38,22.02,0.72,23.18,28.36,12.82,58.56,11.77,94.28,9.9,,
2019-07-11,25.18,0.17,0.52,12.28,7.07,9.97,22.29,17.9,34.16,10.41,,
2019-07-12,23.66,3.64,0.55,8.86,4.77,10.55,19.13,13.14,34.66,10.5,,
2019-07-13,24.52,0.19,0.55,9.95,5.88,11.17,21.58,9.18,43.9,10.47,,
2019-07-14,21.91,0.16,0.45,8.22,9.69,10.66,27.32,8.3,37.61,10.65,,
2019-07-15,21.76,0.19,0.48,6.56,4.12,9.4,16.85,7.88,69.57,10.67,,
2019-07-16,80.31,0.29,0.61,6.07,7.52,10.85,23.95,4.6,149.69,10.63,,
2019-07-17,68.31,0.15,0.55,7.62,13.45,11.46,34.37,12.82,135.68,10.8,,
2019-07-18,41.72,0.05,0.54,6.2,6.72,9.98,21.71,11.78,73.42,10.84,,
2019-07-19,43.43,0.08,0.59,6.88,7.05,11.38,23.78,5.55,70.87,11.14,,
2019-07-20,26.73,3.21,0.45,8.73,5.14,10.39,19.59,1.63,167.95,10.92,,
2019-07-21,22.94,0.16,0.33,8.54,1.85,6.25,9.73,1.47,39.38,10.96,,
2019-07-22,59.28,0.23,0.41,7.34,3.37,8.78,14.92,9.75,79.72,10.91,,
2019-07-23,17.81,0.28,0.38,7.81,2.35,7.42,11.8,19.91,118.36,10.86,,
