Date,PM2.5,Benzene,CO,NH3,NO,NO2,NOx,O3,PM10,SO2,Toluene,Xylene
2017-04-20,,,0.32,,7.75,9.26,,18.88,119.49,28.43,,
2017-04-21,,,0.27,,8.0,10.2,,15.85,170.61,29.35,,
2017-04-22,,,0.29,,7.92,9.45,,17.76,124.64,33.34,,
2017-04-23,,,0.31,,7.74,9.39,,21.71,107.36,34.1,,
2017-04-24,,,0.33,,7.49,10.72,,17.94,178.28,38.16,,
2017-04-25,,,0.39,,7.95,11.07,,21.16,178.55,13.11,,
2017-04-26,,,0.31,,8.22,12.64,,24.6,312.48,52.54,,
2017-04-27,,,0.32,,8.02,11.34,,24.12,261.1,70.8,,
2017-04-28,,,0.28,,7.84,10.4,,17.64,151.89,25.56,,
2017-04-29,,,0.28,,7.97,10.42,,20.48,188.39,57.19,,
2017-04-30,,,0.29,,8.04,8.75,,15.45,99.66,16.33,,
2017-05-01,,,0.33,,8.06,7.8,,12.01,89.09,20.0,,
2017-05-02,,,0.59,,7.86,10.29,,31.84,105.54,46.35,,
2017-05-03,,,0.31,,7.57,8.8,,19.92,87.13,23.9,,
2017-05-04,,,0.3,,7.67,8.69,,19.84,121.63,38.21,,
2017-05-05,,,0.32,,7.72,9.04,,22.1,124.83,,,
2017-05-06,,,0.36,,7.8,9.45,,29.21,169.22,,,
2017-05-07,,,0.3,,7.9,9.27,,33.89,107.19,,,
2017-05-08,,,0.36,,7.98,9.76,,14.69,103.55,5.62,,
2017-05-09,,,0.29,,7.78,9.24,,,135.11,36.97,,
2017-05-10,,,0.31,,7.78,9.59,,33.75,156.37,59.05,,
2017-05-11,,,0.31,,7.94,9.01,,16.65,128.4,12.28,,
2017-05-12,,,0.33,,7.73,9.37,,18.44,87.52,26.48,,
2017-05-13,,,0.3,,7.71,9.77,,19.6,205.38,42.19,,
2017-05-14,,,0.43,,7.67,10.02,,28.14,194.08,28.22,,
2017-05-15,,,0.33,,7.91,9.49,,50.33,149.04,25.57,,
2017-05-16,,,0.27,,7.53,8.47,,50.94,92.3,22.19,,
2017-05-17,,,0.3,,7.74,9.47,,17.59,120.26,18.81,,
2017-05-18,,,0.4,,7.91,9.56,,48.65,115.24,43.43,,
2017-05-19,,,0.39,,7.98,9.82,,36.24,111.91,21.08,,
2017-05-20,,,0.3,,7.57,8.57,,29.28,94.15,59.65,,
2017-05-21,,,0.29,,7.82,8.66,,37.25,130.72,52.08,,
2017-05-22,,,0.36,,7.47,8.47,,28.23,154.29,36.18,,
2017-05-23,,,0.44,,7.94,9.68,,34.31,149.02,65.81,,
2017-05-24,,,0.38,,7.83,10.22,,15.75,195.18,23.99,,
2017-05-25,,,0.31,,7.94,9.84,,10.3,136.9,48.14,,
2017-05-26,,,0.28,,8.15,9.9,,6.42,98.77,31.56,,
2017-05-27,,,0.42,,8.12,10.32,,10.19,83.56,39.88,,
2017-05-28,,,0.3,,7.94,8.95,,5.72,78.74,30.16,,
2017-05-29,,,0.43,,8.07,10.44,,12.95,109.26,38.3,,
2017-05-30,,,0.43,,8.09,9.25,,11.59,116.99,38.71,,
2017-05-31,,,0.42,,8.17,10.45,,7.08,129.23,47.44,,
2017-06-01,,,0.39,,7.94,9.28,,16.13,101.19,26.29,,
2017-06-02,,,0.36,,7.77,9.85,,11.6,167.86,46.82,,
2017-06-03,,,0.34,,8.02,10.65,,16.98,197.14,28.47,,
2017-06-04,,,0.38,,8.12,8.73,,22.45,175.7,42.62,,
2017-06-05,,,0.34,,8.06,9.7,,10.02,130.9,34.66,,
2017-06-06,,,0.35,,8.1,9.2,,12.56,119.44,24.31,,
2017-06-07,,,0.4,,7.76,8.99,,10.77,177.78,41.41,,
2017-06-08,,,0.4,,7.96,9.89,,6.7,154.1,41.89,,
