Date,PM2.5,LastDayPM2.5,Benzene,CO,NH3,NO,NO2,NOx,O3,PM10,SO2,Toluene,Xylene
2017-12-07,171.38,,0.0,3.26,7.78,,41.07,,4.69,311.68,5.83,,
2017-12-08,126.67,171.38,0.0,2.94,7.97,,20.16,,10.51,192.81,5.43,,
2017-12-09,105.11,126.67,0.0,2.83,8.15,,18.4,,10.33,154.39,5.1,,
2017-12-10,65.25,105.11,0.0,2.74,7.9,,15.21,,8.37,99.73,4.75,,
2017-12-11,,65.25,,,,,,,,,,,
2017-12-12,144.54,,0.0,2.72,8.48,,22.63,,30.14,218.14,8.54,,
2017-12-13,153.61,144.54,0.0,2.78,8.9,,18.47,,16.28,227.43,7.84,,
2017-12-14,129.38,153.61,0.0,2.76,9.13,,17.77,,7.1,199.46,6.52,,
2017-12-15,115.35,129.38,0.0,2.7,8.88,,16.99,,7.03,178.56,6.04,,
2017-12-16,102.0,115.35,0.0,2.58,8.54,,15.96,,7.0,165.18,5.74,,
2017-12-17,76.19,102.0,0.0,2.45,8.03,,17.33,,7.53,128.13,5.51,,
2017-12-18,72.55,76.19,0.0,2.5,7.18,,20.44,,7.15,124.51,5.91,,
2017-12-19,70.49,72.55,0.0,2.78,6.96,0.03,12.24,0.06,6.41,118.77,4.29,,
2017-12-20,,70.49,,3.03,,0.02,0.03,0.04,0.04,,0.84,,
2017-12-21,,,,3.07,,0.02,0.03,0.04,0.02,,0.64,,
2017-12-22,,,,3.17,,0.02,0.02,0.04,0.03,,0.62,,
2017-12-23,,,,,,,,,,,,,
2017-12-24,,,,,,,,,,,,,
2017-12-25,,,,,,,,,,,,,
2017-12-26,,,,,,,,,,,,,
2017-12-27,,,,2.91,,0.02,0.03,0.04,0.01,,0.58,,
2017-12-28,,,,3.23,,0.02,0.02,0.04,0.02,,0.61,,
2017-12-29,,,,3.34,,0.03,0.02,0.04,0.02,,0.64,,
2017-12-30,,,,3.57,,0.02,0.03,0.03,0.01,,0.69,,
2017-12-31,,,,,,,0.03,,,,,,
2018-01-01,,,,,,,0.03,,,,,,
2018-01-02,,,,,,,0.03,,,,,,
2018-01-03,,,,,,,0.03,,,,,,
2018-01-04,,,,,,,,,,,,,
