Date,PM2.5,LastDayPM2.5,Benzene,CO,NH3,NO,NO2,NOx,O3,PM10,SO2,Toluene,Xylene
2015-01-01,,,0.17,1.17,4.59,16.3,15.39,22.68,11.35,,9.2,,
2015-01-02,,,0.13,1.23,7.83,16.49,13.42,23.09,9.16,,8.61,,
2015-01-03,,,0.03,0.77,4.63,9.72,19.56,9.99,13.45,,48.23,,
2015-01-04,,,,1.0,5.23,9.6,16.2,11.71,10.33,,27.96,,
2015-01-05,,,,0.9,5.5,9.16,16.3,12.94,9.36,,16.6,,
2015-01-06,,,0.57,0.91,5.46,30.58,35.6,13.42,12.61,,21.98,,
2015-01-07,,,0.2,1.22,4.9,43.92,46.38,13.32,13.94,,28.13,,
2015-01-08,,,0.97,1.15,3.71,26.74,37.79,10.98,38.29,,21.26,3.54,
2015-01-09,,,3.1,1.31,5.81,39.24,42.65,10.52,27.34,,22.82,14.68,
2015-01-10,,,0.04,0.98,3.96,10.2,19.17,11.15,27.19,,17.36,,
2015-01-11,,,0.39,0.8,3.77,55.04,49.87,14.65,19.04,,21.75,,
2015-01-12,,,0.1,1.07,4.16,23.78,30.31,15.71,18.32,,28.51,,
2015-01-13,,,0.78,0.97,6.06,48.95,64.35,12.73,17.25,,16.44,0.96,
2015-01-14,,,2.67,1.22,8.79,29.88,38.23,15.74,23.68,,20.32,,
2015-01-15,,,0.24,1.01,4.53,18.58,23.87,12.97,14.1,,21.92,,
2015-01-16,,,0.14,1.17,4.03,12.29,18.39,12.51,13.22,,13.18,,
2015-01-17,,,0.03,1.7,3.77,9.57,17.4,12.93,26.34,,10.44,,
2015-01-18,,,0.09,1.12,3.63,24.48,30.7,9.26,29.08,,11.33,,
2015-01-19,,,0.31,2.35,3.82,42.76,41.8,9.43,27.45,,9.72,,
2015-01-20,,,0.06,1.99,20.14,21.82,27.9,11.76,32.32,,8.52,,
2015-01-21,,,9.48,1.79,3.85,43.8,59.26,8.54,18.84,,9.28,,
2015-01-22,,,12.58,1.43,4.6,45.63,46.77,8.85,24.98,,7.64,,
2015-01-23,,,7.99,3.43,4.01,34.64,37.55,10.49,42.33,,10.57,,
2015-01-24,,,,0.84,4.36,12.39,9.89,14.62,37.17,,7.39,,
2015-01-25,,,,0.85,3.98,34.39,10.14,14.56,17.11,,7.16,,
2015-01-26,,,,2.07,3.53,30.07,10.44,14.43,20.18,,7.38,,
2015-01-27,,,,1.16,4.28,8.83,12.63,13.41,27.02,,7.14,,
2015-01-28,,,,2.81,3.69,10.41,16.83,14.9,36.68,,8.06,8.98,
2015-01-29,,,,0.84,3.95,44.65,41.79,13.2,26.29,,8.46,2.86,
2015-01-30,,,,0.82,5.54,21.66,23.84,15.56,21.75,,9.46,,
2015-01-31,,,,0.94,4.37,44.76,46.59,14.26,38.57,,7.88,7.18,
2015-02-01,,,,0.71,4.2,21.43,26.05,12.53,42.61,,7.76,11.39,
2015-02-02,,,,1.59,3.63,10.61,15.82,20.87,38.8,,10.58,13.02,
