Date,PM2.5,LastDayPM2.5,Benzene,CO,NH3,NO,NO2,NOx,O3,PM10,SO2,Toluene,Xylene
2020-01-22,37.48,,0.64,1.94,101.97,127.81,7.76,135.57,,80.65,3.34,1.01,0.12
2020-01-23,,37.48,,,,,,,,,,,
2020-01-24,41.13,,0.68,1.12,102.66,125.76,7.95,133.71,,68.71,3.46,1.87,0.31
2020-01-25,53.0,41.13,0.9,1.17,104.05,126.22,7.8,134.02,,84.58,3.48,1.93,0.19
2020-01-26,58.31,53.0,1.15,1.2,103.2,125.14,7.95,133.09,,85.47,3.54,1.83,0.18
2020-01-27,53.06,58.31,1.34,1.24,133.25,152.12,5.9,156.21,,80.24,3.49,2.34,0.2
2020-01-28,60.99,53.06,1.62,1.37,107.43,133.5,7.48,140.31,,95.07,3.64,2.5,0.3
2020-01-29,57.41,60.99,5.05,1.35,36.6,67.41,16.13,83.55,,96.7,3.59,9.85,1.39
2020-01-30,43.89,57.41,4.97,1.35,19.41,44.57,19.16,63.72,,79.3,3.54,6.4,0.94
2020-01-31,35.45,43.89,3.9,1.27,28.95,43.56,19.28,62.85,,78.48,3.58,5.24,0.73
2020-02-01,38.01,35.45,1.35,1.17,27.62,41.56,19.55,61.12,,74.51,3.53,2.58,0.2
2020-02-02,38.63,38.01,1.77,1.08,26.53,39.98,19.76,59.74,,67.05,3.54,4.24,0.39
2020-02-03,40.97,38.63,1.06,1.13,26.07,39.32,13.29,57.08,,72.23,3.53,2.01,0.16
2020-02-04,54.34,40.97,1.08,1.41,24.66,37.19,5.13,52.02,,89.68,3.44,1.94,0.3
2020-02-05,52.85,54.34,1.05,1.41,23.18,34.89,3.9,43.67,,95.99,3.48,1.73,0.27
2020-02-06,35.61,52.85,0.75,1.36,21.83,33.26,0.72,29.33,,69.55,3.64,1.49,0.19
2020-02-07,42.18,35.61,1.75,1.51,44.3,66.03,0.69,53.2,,70.64,3.78,3.66,0.85
2020-02-08,36.49,42.18,2.53,1.3,59.59,88.74,,69.87,,69.27,3.56,3.67,0.4
2020-02-09,36.94,36.49,0.81,1.15,54.52,81.3,,64.43,,65.81,3.53,1.33,0.05
2020-02-10,39.27,36.94,1.89,1.33,56.08,80.98,0.33,65.59,,68.24,3.64,2.03,0.21
2020-02-11,38.45,39.27,1.48,1.23,74.95,84.83,0.68,84.43,,70.37,3.61,3.52,0.35
2020-02-12,51.09,38.45,1.34,1.42,64.53,73.25,0.68,73.89,,85.94,3.46,2.68,0.32
2020-02-13,39.8,51.09,1.13,1.36,58.5,99.92,2.63,98.17,,72.06,3.67,2.32,0.23
2020-02-14,49.84,39.8,3.99,1.46,17.96,78.8,0.36,78.9,,83.54,3.66,7.9,0.93
2020-02-15,33.41,49.84,2.26,1.36,14.05,79.95,0.81,79.9,,51.47,3.87,3.2,0.47
2020-02-16,39.71,33.41,0.07,1.04,15.4,81.76,0.27,81.43,,58.34,4.08,0.26,0.01
2020-02-17,50.63,39.71,0.67,1.33,12.57,69.33,0.87,70.2,,79.13,3.54,1.55,0.17
2020-02-18,49.29,50.63,0.62,1.28,11.86,65.8,1.19,67.0,,78.67,3.47,1.22,0.15
2020-02-19,78.27,49.29,1.86,1.64,11.41,63.43,1.42,64.85,,116.73,3.53,2.55,0.5
2020-02-20,55.37,78.27,0.84,1.39,10.94,60.95,1.63,62.59,,88.08,3.45,1.73,0.39
2020-02-21,59.74,55.37,1.14,1.61,10.68,59.45,1.77,61.22,,89.73,3.47,2.25,0.53
2020-02-22,47.75,59.74,0.9,1.39,10.8,59.83,1.72,61.55,,75.74,3.51,1.49,0.1
2020-02-23,37.76,47.75,0.62,1.22,10.66,58.97,1.79,60.76,,59.35,3.52,1.08,0.02
2020-02-24,44.43,37.76,0.83,1.5,10.47,57.9,1.89,59.79,,72.73,3.52,1.64,0.15
2020-02-25,42.85,44.43,1.64,1.53,10.41,57.31,1.94,59.25,,69.29,3.65,3.4,0.51
2020-02-26,52.33,42.85,0.84,1.35,10.52,57.44,1.89,59.34,,79.96,3.65,1.42,0.02
2020-02-27,46.96,52.33,2.06,1.55,10.45,56.91,1.94,58.86,,69.25,3.7,4.29,0.49
2020-02-28,47.25,46.96,1.27,1.73,10.71,57.27,1.89,59.16,,72.04,3.99,2.45,0.24
2020-02-29,35.35,47.25,0.55,1.41,9.75,53.8,2.24,56.05,,56.01,3.52,1.42,0.17
2020-03-01,34.65,35.35,0.49,1.24,9.59,53.02,2.32,55.34,,54.4,3.53,0.9,0.02
2020-03-02,35.76,34.65,0.77,1.58,9.66,53.02,2.31,55.32,,54.77,3.6,1.83,0.19
2020-03-03,27.97,35.76,0.83,1.63,9.34,51.02,2.47,53.49,,43.68,3.67,2.31,0.26
2020-03-04,30.85,27.97,0.55,1.76,0.18,0.94,6.94,7.86,,61.79,4.29,1.62,0.26
2020-03-05,37.26,30.85,0.3,1.87,0.11,0.59,6.96,7.53,,73.37,4.12,0.91,0.17
2020-03-06,30.91,37.26,1.51,1.79,0.05,0.27,6.99,7.16,,63.61,3.98,2.55,0.92
2020-03-07,18.17,30.91,0.62,1.25,0.02,0.09,7.0,7.0,,44.89,3.62,1.61,0.22
2020-03-08,27.59,18.17,0.58,1.35,0.02,0.13,7.0,7.01,,52.22,3.57,1.18,0.07
2020-03-09,24.22,27.59,0.54,1.48,0.15,0.8,6.99,7.08,,48.87,3.62,1.79,0.16
2020-03-10,32.43,24.22,0.76,1.32,0.01,0.06,7.0,6.98,,58.49,3.63,1.48,0.0
2020-03-11,22.94,32.43,0.15,1.68,1.04,0.12,5.0,6.03,,67.87,3.91,0.35,0.02
