Date,PM2.5,LastDayPM2.5,Benzene,CO,NH3,NO,NO2,NOx,O3,PM10,SO2,Toluene,Xylene
2015-11-27,,,,2.88,,5.28,8.37,9.57,5.96,,15.92,,
2015-11-28,,,,0.47,,4.71,8.0,9.74,8.13,,5.78,,
2015-11-29,,,,1.67,,3.1,8.04,8.69,16.52,,5.26,,
2015-11-30,,,,1.45,,3.9,8.21,9.54,6.29,,7.51,,
2015-12-01,,,,1.45,,3.36,8.13,8.86,10.5,,3.72,,
2015-12-02,,,,2.08,,7.59,10.25,11.2,10.1,,6.99,,
2015-12-03,,,,0.66,,13.11,14.27,14.32,8.75,,2.69,,
2015-12-04,,,,3.91,,14.32,12.84,13.94,16.09,,14.63,,
2015-12-05,,,,2.09,,12.82,15.38,14.28,19.52,,9.1,,
2015-12-06,,,,,,,,,,,,,
2015-12-07,,,,1.63,,13.35,14.02,14.55,25.7,,3.75,,
2015-12-08,,,,1.72,,13.57,14.27,15.36,25.28,,5.47,,
2015-12-09,,,,1.38,,11.96,13.8,14.81,14.06,,4.25,,
2015-12-10,,,,1.47,,12.63,12.82,14.9,1.97,,2.03,,
2015-12-11,,,,1.42,,12.92,15.34,14.71,15.02,,12.16,,
2015-12-12,,,,0.42,,14.65,14.3,14.68,2.86,,4.67,,
2015-12-13,,,,,,,,,,,,,
2015-12-14,,,,0.68,,12.69,15.39,14.21,30.92,,8.0,,
2015-12-15,,,,0.2,,15.48,13.39,15.09,21.46,,4.22,,
2015-12-16,,,,1.39,,14.27,14.84,15.07,15.37,,5.73,,
2015-12-17,,,,,,,,,,,,,
2015-12-18,,,,,,,,,,,,,
2015-12-19,,,,,,,,,,,,,
2015-12-20,,,,,,,,,,,,,
2015-12-21,,,,1.96,,15.58,17.88,15.35,20.65,,12.38,,
2015-12-22,,,,2.44,,15.8,17.05,15.57,1.24,,10.24,,
2015-12-23,,,,1.74,,16.01,16.16,15.54,14.1,,18.91,,
2015-12-24,,,,1.69,,14.41,13.23,14.99,1.55,,2.89,,
2015-12-25,,,,1.51,,13.82,13.0,14.46,14.64,,4.79,,
2015-12-26,,,,1.59,,12.02,14.5,14.42,13.92,,5.04,,
2015-12-27,,,,1.42,,10.57,14.55,13.84,14.77,,5.06,,
2015-12-28,,,,1.44,,9.57,13.7,12.97,16.97,,5.94,,
2015-12-29,,,,1.39,,10.46,14.44,14.26,19.21,,5.63,,
2015-12-30,,,,1.0,,9.88,13.16,12.53,21.88,,14.24,,
2015-12-31,,,,1.43,,12.63,13.98,14.61,28.88,,5.41,,
