Date,PM2.5,LastDayPM2.5,Benzene,CO,NH3,NO,NO2,NOx,O3,PM10,SO2,Toluene,Xylene
2015-01-04,,,0.41,0.3,,3.7,17.19,20.89,30.34,,2.58,6.15,1.11
2015-01-05,,,0.39,0.23,,3.61,9.69,13.3,31.28,,5.19,7.22,0.55
2015-01-06,,,0.52,0.31,,4.21,22.02,26.23,28.56,,9.09,5.14,0.53
2015-01-07,,,1.92,0.53,,26.08,40.08,66.15,31.08,,9.03,16.35,2.14
2015-01-08,,,1.89,0.44,,10.31,33.02,43.33,35.72,,8.47,14.27,1.58
2015-01-09,,,0.77,0.39,,8.79,31.6,40.39,34.77,,8.92,12.47,1.22
2015-01-10,,,1.14,0.43,,8.12,32.52,40.64,34.63,,9.59,14.06,1.27
2015-01-11,,,1.02,0.39,,14.0,31.96,45.96,38.74,,12.53,10.4,1.23
2015-01-12,,,0.92,0.48,,13.26,30.2,43.46,20.94,,8.58,15.16,1.19
2015-01-13,,,2.05,0.72,,33.63,23.37,57.0,13.66,,3.01,17.65,1.88
2015-01-14,,,1.45,0.86,,32.0,23.01,55.0,6.14,,1.77,24.04,2.78
2015-01-15,,,1.1,0.64,,16.05,22.18,38.22,9.29,,2.23,9.19,1.5
2015-01-16,,,0.95,0.47,,11.73,19.17,30.9,19.01,,2.82,7.13,1.19
2015-01-17,,,1.42,0.61,,20.28,20.48,40.76,52.25,,2.65,15.21,1.96
2015-01-18,,,1.01,0.55,,13.45,21.93,35.37,7.87,,2.55,14.27,1.88
2015-01-19,,,0.76,0.51,,12.24,21.48,33.72,10.88,,2.86,9.77,1.4
2015-01-20,,,0.6,0.46,,13.19,20.47,33.66,8.66,,2.63,6.7,1.11
2015-01-21,,,0.55,0.4,,12.78,18.09,30.87,5.24,,2.71,4.51,0.94
2015-01-22,,,0.74,0.43,,14.64,19.01,33.65,4.11,,3.02,4.3,1.11
2015-01-23,,,0.82,0.47,,15.16,21.35,36.51,9.41,,3.37,6.23,1.24
2015-01-24,,,0.65,0.38,,5.53,20.44,25.97,30.88,,2.66,5.12,1.12
2015-01-25,,,0.41,0.36,,4.32,19.71,24.02,33.1,,2.71,3.48,0.98
2015-01-26,,,0.27,0.3,,3.51,13.54,17.06,36.99,,2.69,2.22,0.57
2015-01-27,,,0.33,0.33,,4.61,18.54,23.16,36.18,,2.84,2.81,0.72
2015-01-28,,,0.37,0.36,,4.55,19.6,24.15,34.95,,2.71,3.43,0.86
