Date,PM2.5,LastDayPM2.5,Benzene,CO,NH3,NO,NO2,NOx,O3,PM10,SO2,Toluene,Xylene
2017-06-14,,,,,,,,,,,,,
2017-06-15,,,,,,,,,,,,,
2017-06-16,,,,,,,,,,,,,
2017-06-17,,,,,,,,,,,,,
2017-06-18,,,,,,,,,,,,,
2017-06-19,64.78,,0.0,0.73,4.73,24.97,10.69,,11.1,99.43,7.29,0.57,
2017-06-20,70.1,64.78,0.0,0.81,8.17,10.55,6.16,,13.83,75.55,9.02,0.26,
2017-06-21,67.5,70.1,0.0,0.71,5.1,10.29,2.98,,38.19,93.8,9.26,0.33,
2017-06-22,24.8,67.5,0.0,0.74,5.04,10.17,3.11,,44.67,31.95,8.89,0.33,
2017-06-23,32.3,24.8,0.0,0.68,3.8,9.64,3.27,,39.16,47.4,8.39,0.17,
2017-06-24,55.36,32.3,0.0,0.77,13.26,32.81,1.68,,10.76,73.69,9.33,0.0,
2017-06-25,47.62,55.36,,0.73,0.89,,0.01,,9.38,79.52,9.15,,
2017-06-26,61.34,47.62,,1.01,1.19,,0.07,,13.56,100.61,8.55,,
2017-06-27,36.51,61.34,,0.82,0.63,,,,4.17,65.54,9.33,,
2017-06-28,19.66,36.51,0.03,0.86,0.34,4.32,6.36,,1.34,23.81,8.56,0.69,
2017-06-29,16.8,19.66,0.0,0.67,,4.56,5.9,,1.27,14.47,8.49,0.36,
2017-06-30,14.37,16.8,0.0,0.57,,4.52,5.7,,1.21,23.25,8.89,0.18,
2017-07-01,25.14,14.37,0.04,0.89,1.12,4.69,6.02,,1.35,26.17,9.53,0.46,
2017-07-02,28.74,25.14,0.1,1.02,1.12,4.67,5.99,,1.2,33.12,9.35,0.78,
2017-07-03,39.4,28.74,0.0,0.86,28.45,9.59,3.67,,1.17,51.67,10.11,0.34,
2017-07-04,52.82,39.4,0.0,0.8,16.31,6.0,6.86,,1.21,76.36,8.95,0.21,
2017-07-05,56.88,52.82,0.0,0.74,6.45,0.98,10.75,,1.27,91.07,9.28,0.19,
2017-07-06,68.1,56.88,0.0,0.56,6.36,0.99,10.53,,1.17,101.47,9.37,0.13,
2017-07-07,60.61,68.1,0.0,0.64,6.59,1.71,10.05,,1.22,80.86,9.14,0.1,
2017-07-08,54.57,60.61,0.0,0.67,6.53,2.1,9.68,,1.34,1.02,9.27,0.26,
2017-07-09,46.43,54.57,0.0,0.64,5.6,1.48,10.14,,1.7,,9.35,0.11,
2017-07-10,44.47,46.43,,0.68,5.34,1.36,10.29,,1.83,,9.74,,
2017-07-11,81.08,44.47,,1.8,4.73,0.44,11.14,,2.18,120.51,9.74,,
2017-07-12,41.86,81.08,,1.46,,,,,1.54,0.42,9.54,,
2017-07-13,33.25,41.86,0.0,0.74,1.49,6.66,10.95,,1.35,34.01,9.56,0.0,
2017-07-14,30.59,33.25,,0.72,1.01,6.77,11.36,,1.23,41.65,8.52,,
2017-07-15,45.02,30.59,0.0,0.8,3.02,9.85,15.55,,1.85,64.8,9.44,0.0,
2017-07-16,44.54,45.02,,0.79,5.03,13.17,21.27,,1.93,83.5,8.79,,
2017-07-17,33.83,44.54,0.0,0.77,5.31,13.4,21.08,,1.47,76.56,9.18,0.64,
2017-07-18,33.98,33.83,4.84,0.7,5.62,13.91,20.67,,1.2,84.18,6.02,5.2,
2017-07-19,15.55,33.98,0.0,0.42,5.08,13.21,21.12,,1.52,52.25,18.02,0.47,
2017-07-20,30.57,15.55,0.52,0.42,5.81,13.15,15.02,,1.11,89.06,4.2,0.79,
2017-07-21,28.19,30.57,2.09,0.41,25.69,10.58,20.46,,27.07,73.55,5.53,2.55,
2017-07-22,18.78,28.19,0.0,0.17,17.67,6.13,23.7,,27.04,55.4,5.45,0.06,
2017-07-23,14.6,18.78,0.0,0.1,18.76,6.9,24.55,,29.35,70.7,7.36,0.44,
2017-07-24,11.5,14.6,0.0,0.1,17.37,3.73,25.02,,29.0,58.7,7.57,0.0,
2017-07-25,21.49,11.5,0.0,0.39,20.4,10.48,24.6,,24.2,86.2,6.8,0.92,
2017-07-26,28.82,21.49,0.0,0.22,19.2,7.78,24.67,,27.41,89.59,4.77,0.28,
2017-07-27,26.78,28.82,0.0,0.34,19.91,9.45,24.5,,39.14,80.29,5.6,0.56,
2017-07-28,33.62,26.78,0.0,0.17,18.94,7.41,24.74,,37.46,93.94,5.61,0.17,
2017-07-29,,33.62,,,,,,,,,,,
2017-07-30,,,,,,,,,,,,,
2017-07-31,35.46,,0.0,0.47,23.69,18.28,24.24,,11.31,95.5,4.33,0.74,
2017-08-01,43.26,35.46,0.0,0.13,21.13,12.44,24.5,,11.12,113.04,4.06,0.18,
2017-08-02,44.16,43.26,0.0,0.35,21.73,13.76,24.26,,15.54,123.14,5.12,0.37,
2017-08-03,31.91,44.16,0.0,0.23,22.46,10.94,21.16,,16.37,95.79,12.47,0.17,
2017-08-04,63.95,31.91,0.87,0.69,17.15,7.92,24.65,,24.42,175.36,9.57,0.84,
2017-08-05,68.29,63.95,0.0,0.61,16.99,7.4,24.79,,15.58,190.23,11.2,0.07,
2017-08-06,82.07,68.29,0.0,0.62,17.14,7.84,24.63,,17.93,214.16,6.66,0.03,
2017-08-07,72.83,82.07,0.0,0.68,16.97,7.5,24.76,,18.09,162.79,6.61,0.06,
