Date,PM2.5,LastDayPM2.5,Benzene,CO,NH3,NO,NO2,NOx,O3,PM10,SO2,Toluene,Xylene
2015-01-01,,,1.35,12.15,,2.11,13.46,4.57,25.92,,169.57,3.93,
2015-01-02,,,1.97,14.0,,2.37,10.76,3.8,21.66,,169.46,5.74,
2015-01-03,,,1.83,12.78,,2.27,12.43,4.22,22.4,,169.77,4.76,
2015-01-04,,,2.27,11.85,,2.24,12.46,4.22,21.41,,169.56,4.77,
2015-01-05,,,2.49,13.34,,2.32,12.27,4.22,20.6,,169.48,4.78,
2015-01-06,,,2.93,14.21,,2.33,12.91,4.3,21.49,,178.63,4.6,
2015-01-07,,,2.92,11.24,,2.68,17.12,4.64,23.67,,169.0,3.82,
2015-01-08,,,3.01,12.68,,4.19,24.45,3.97,19.69,,169.0,5.38,
2015-01-09,,,2.52,13.99,,4.27,24.74,3.13,21.73,,182.39,4.78,
2015-01-10,,,2.55,14.06,,4.02,20.67,4.05,27.36,,174.58,4.98,
2015-01-11,,,2.49,15.69,,3.53,18.77,4.22,27.51,,178.93,4.78,
2015-01-12,,,2.52,16.47,,3.09,17.52,4.22,26.69,,176.44,4.78,
2015-01-13,,,2.18,11.81,,3.39,15.84,5.15,30.22,,187.02,2.62,
2015-01-14,,,2.19,12.86,,2.89,15.26,4.7,34.77,,42.93,4.77,
2015-01-15,,,1.63,11.83,,2.44,8.73,5.06,36.26,,,2.79,
2015-01-16,,,2.33,12.02,,1.78,8.72,3.47,47.81,,,5.74,
2015-01-17,,,2.02,10.27,,2.15,5.4,4.3,34.72,,87.87,4.54,
2015-01-18,,,1.92,9.54,,1.99,4.89,4.72,26.07,,,4.17,
2015-01-19,,,2.15,13.28,,3.38,8.14,4.22,31.2,,,4.76,
2015-01-20,,,2.14,14.09,,4.07,11.63,4.22,33.76,,,4.57,
2015-01-21,,,2.77,13.49,,16.81,19.67,4.22,25.41,,,3.87,
2015-01-22,,,2.71,8.3,,13.04,17.07,3.72,34.07,,141.76,4.72,
2015-01-23,,,2.71,8.56,,5.72,15.33,3.3,49.69,,,5.35,
2015-01-24,,,2.47,6.83,,4.61,12.79,3.8,45.87,,,4.42,
2015-01-25,,,2.79,12.66,,3.78,10.64,3.05,58.79,,,5.73,
2015-01-26,,,2.52,9.29,,6.83,13.62,4.05,33.98,,,4.0,
2015-01-27,,,2.68,9.94,,6.68,20.12,3.61,31.3,,,4.86,
2015-01-28,,,2.83,7.78,,3.06,28.51,3.13,47.82,,,5.75,
2015-01-29,,,3.14,12.85,,2.42,21.54,2.21,56.81,,,7.29,
2015-01-30,,,3.1,14.92,,2.36,16.56,2.21,57.77,,,7.21,
2015-01-31,,,2.65,11.48,,6.4,18.36,3.96,43.57,,,4.17,
2015-02-01,,,2.55,13.58,,7.43,20.19,4.3,33.27,,70.12,3.59,
2015-02-02,,,2.78,15.41,,3.08,18.3,3.13,46.3,,,5.61,
2015-02-03,,,2.36,15.62,,3.71,14.16,4.14,35.58,,,3.79,
