Date,PM2.5,LastDayPM2.5,Benzene,CO,NH3,NO,NO2,NOx,O3,PM10,SO2,Toluene,Xylene
2015-06-01,,,0.0,1.56,,14.41,25.06,39.32,8.89,,1.8,0.29,0.0
2015-06-02,,,0.08,2.35,,25.0,22.48,47.5,9.9,,9.69,0.83,0.09
2015-06-03,,,0.0,1.69,,14.29,17.16,29.81,12.63,,20.61,0.33,0.0
2015-06-04,,,0.01,1.2,,13.03,15.62,28.63,9.77,,4.35,0.28,0.0
2015-06-05,,,0.0,1.29,,10.4,10.36,20.14,11.9,,7.22,0.15,0.0
2015-06-06,,,0.0,1.44,,21.02,18.56,38.88,11.24,,11.02,0.32,0.0
2015-06-07,,,0.0,1.42,,20.35,27.97,48.2,10.63,,5.36,0.21,0.0
2015-06-08,,,0.02,1.33,,23.38,29.72,53.29,10.81,,4.53,0.36,0.06
2015-06-09,,,0.01,1.7,,26.99,28.6,55.47,11.39,,10.42,0.33,0.01
2015-06-10,,,0.0,2.28,,23.36,20.42,43.24,9.75,,17.55,0.23,0.0
2015-06-11,,,0.0,1.08,,12.19,18.38,30.39,14.71,,5.69,0.05,0.0
2015-06-12,,,0.0,1.0,,10.67,17.14,27.13,12.91,,5.83,0.07,0.0
2015-06-13,,,0.0,0.44,,3.74,16.58,19.57,23.05,,1.74,0.0,0.0
2015-06-14,,,0.0,0.59,,5.44,19.71,24.84,13.25,,1.56,0.06,0.0
2015-06-15,,,0.01,1.38,,14.37,22.41,35.88,14.47,,5.3,0.15,0.0
2015-06-16,,,0.0,1.53,,8.25,17.15,24.85,11.69,,2.22,0.01,0.0
2015-06-17,,,0.0,1.99,,27.52,22.37,48.96,26.55,,17.51,0.0,0.0
2015-06-18,,,0.0,1.71,,32.22,17.95,49.64,36.26,,12.88,0.0,0.0
2015-06-19,,,,1.34,,24.47,17.43,42.03,8.02,,5.53,,
2015-06-20,,,,1.12,,17.33,12.65,29.82,6.87,,7.12,,
2015-06-21,,,,1.13,,17.2,11.84,29.1,7.35,,6.31,,
2015-06-22,,,74.8,2.1,,30.72,12.45,42.94,17.44,,8.39,42.39,42.03
2015-06-23,,,0.23,1.44,,33.96,11.31,45.97,9.2,,8.08,1.67,0.64
2015-06-24,,,0.34,3.04,,35.74,20.67,56.06,15.72,,18.69,1.72,0.88
2015-06-25,,,0.16,0.62,,7.53,9.67,16.86,10.98,,4.41,1.28,0.38
2015-06-26,,,0.24,0.92,,15.62,16.48,32.08,13.38,,7.98,1.62,0.63
2015-06-27,,,0.32,1.92,,34.79,18.11,52.79,12.13,,6.51,2.48,0.91
2015-06-28,,,0.27,0.53,,13.08,14.6,26.15,9.49,,2.79,1.98,0.72
2015-06-29,,,0.38,1.57,,30.27,22.39,51.99,12.77,,4.18,2.58,1.13
2015-06-30,,,0.33,1.75,,17.85,21.23,38.93,9.97,,7.87,2.15,0.91
2015-07-01,,,0.23,1.07,,11.88,14.58,25.8,12.31,,1.15,1.58,0.57
2015-07-02,,,0.23,0.74,,7.17,14.32,21.45,12.19,,0.92,1.62,0.55
2015-07-03,,,0.23,1.23,,13.19,14.73,27.87,12.28,,5.62,1.68,0.56
2015-07-04,,,0.27,1.32,,14.19,15.31,29.45,11.95,,5.31,1.85,0.7
2015-07-05,,,0.23,1.1,,11.59,10.86,24.26,12.64,,5.12,2.06,0.57
2015-07-06,,,0.34,2.52,,26.97,16.58,46.45,13.04,,12.11,2.03,0.93
2015-07-07,,,0.31,1.8,,21.77,12.16,34.78,14.64,,9.63,1.74,0.82
2015-07-08,,,0.3,1.35,,21.41,10.1,31.4,12.53,,5.97,1.96,0.79
2015-07-09,,,0.31,1.35,,24.96,10.16,35.06,12.26,,6.31,2.04,0.88
2015-07-10,,,0.26,3.91,,22.02,7.55,30.91,9.96,,17.68,1.77,0.78
2015-07-11,,,0.28,2.02,,14.63,8.74,23.55,9.97,,14.23,1.74,0.66
2015-07-12,,,0.24,2.1,,15.01,6.82,21.9,9.52,,14.94,1.68,0.57
2015-07-13,,,0.26,1.94,,16.59,19.81,34.55,10.37,,23.57,1.33,0.59
2015-07-14,,,0.29,2.53,,27.16,19.86,45.96,14.5,,9.61,1.88,0.73
2015-07-15,,,0.27,1.03,,8.48,18.81,27.11,12.03,,0.57,1.92,0.71
2015-07-16,,,0.35,2.18,,42.75,22.63,64.99,12.46,,16.13,2.34,1.09
2015-07-17,,,0.29,2.1,,24.5,13.9,38.27,11.71,,13.17,1.98,0.81
