Date,NextDayPM2.5,PM2.5,Benzene,CO,NH3,NO,NO2,NOx,O3,PM10,SO2,Toluene,Xylene
2015-01-02,,,3.68,0.97,,0.97,15.69,16.46,34.06,,24.55,5.5,3.77
2015-01-03,,,6.8,17.4,,17.4,19.3,29.7,30.7,,29.07,16.4,2.25
2015-01-04,,,4.43,1.7,,1.7,18.48,17.97,36.08,,18.59,10.14,1.0
2015-01-05,,,7.01,22.1,,22.1,21.42,37.76,39.31,,39.33,18.89,2.78
2015-01-06,,,5.42,45.41,,45.41,38.48,81.5,46.51,,45.76,10.83,1.93
2015-01-07,,,0.0,112.16,,112.16,40.62,130.77,33.47,,32.28,0.0,0.0
2015-01-08,,,0.0,80.87,,80.87,36.74,96.75,31.89,,38.54,0.0,0.0
2015-01-09,,,0.0,29.16,,29.16,31.0,48.0,25.75,,58.68,0.0,0.0
2015-01-10,,,0.0,,,,7.04,0.0,4.55,,8.29,0.0,0.0
2015-01-11,,,0.0,132.07,,132.07,55.8,24.53,6.79,,25.03,0.0,0.0
2015-01-12,,,2.41,52.04,,52.04,40.67,90.24,45.89,,51.84,0.03,7.88
2015-01-13,,,9.45,48.82,,48.82,44.2,87.09,35.16,,68.21,13.35,12.5
2015-01-14,,,2.16,19.2,,19.2,27.86,33.05,20.96,,52.65,2.26,5.19
2015-01-15,,,0.14,0.6,,0.6,16.96,16.6,47.63,,28.89,0.04,1.35
2015-01-16,,,0.35,1.63,,1.63,21.72,22.86,46.03,,38.27,0.05,2.01
2015-01-17,,,0.68,11.44,,11.44,24.73,34.75,52.24,,49.5,0.0,3.27
2015-01-18,,,0.74,6.1,,6.1,25.77,29.57,53.49,,48.43,0.21,2.75
2015-01-19,,,0.26,2.51,,2.51,26.88,27.45,49.48,,50.03,0.02,2.8
2015-01-20,,,0.24,7.92,,7.92,26.8,32.4,56.37,,58.87,0.01,3.97
2015-01-21,,,0.33,9.52,,9.52,33.56,39.28,48.75,,106.93,0.0,5.65
2015-01-22,,,0.0,9.05,,9.05,17.51,22.33,42.22,,23.71,0.0,4.51
2015-01-23,,,0.39,22.53,,22.53,27.96,47.79,32.92,,39.19,0.0,5.95
2015-01-24,,,0.47,2.03,,2.03,20.39,21.4,32.49,,40.07,0.7,1.54
2015-01-25,,,0.01,1.42,,1.42,20.43,20.19,39.26,,58.41,0.0,0.94
2015-01-26,,,0.06,2.27,,2.27,21.16,21.81,39.83,,43.73,0.0,1.55
2015-01-27,73.24,,0.02,2.19,,2.19,21.7,23.26,41.1,,43.28,0.0,1.65
2015-01-28,83.13,73.24,0.03,5.72,,5.72,21.11,25.84,62.42,,36.52,0.01,1.41
2015-01-29,79.84,83.13,0.02,6.93,,6.93,28.71,33.72,59.76,,49.52,0.0,3.14
