Date,NextDayPM2.5,PM2.5,Benzene,CO,NH3,NO,NO2,NOx,O3,PM10,SO2,Toluene,Xylene
2020-03-11,31.21,32.69,0.03,0.6,26.64,6.99,2.85,11.93,4.48,47.91,4.53,0.3,
2020-03-12,38.39,31.21,0.01,0.56,25.63,7.2,1.27,10.65,2.81,38.66,4.22,0.08,
2020-03-13,43.23,38.39,0.0,0.57,29.16,7.19,0.91,10.37,0.18,46.68,4.46,0.0,
2020-03-14,33.82,43.23,0.0,0.57,28.95,7.14,1.07,10.48,0.41,50.83,4.53,0.0,
2020-03-15,27.14,33.82,0.0,0.48,28.41,7.09,0.36,9.73,0.3,41.03,4.63,0.0,
2020-03-16,27.32,27.14,0.13,0.5,23.98,5.63,2.32,8.09,13.02,35.04,4.71,0.68,
2020-03-17,31.76,27.32,0.25,0.48,24.57,3.07,2.14,3.41,6.03,35.75,4.84,1.34,
2020-03-18,43.8,31.76,0.24,0.47,23.42,3.0,1.48,5.24,8.76,41.51,5.04,1.19,
2020-03-19,35.48,43.8,0.26,0.48,23.41,2.97,1.31,4.97,9.96,53.59,5.3,1.11,
2020-03-20,51.27,35.48,0.27,0.49,24.85,3.01,0.83,4.64,6.43,44.02,5.32,1.15,
2020-03-21,33.24,51.27,49.66,0.49,24.44,3.01,0.88,4.62,8.62,60.05,5.63,50.11,
2020-03-22,35.34,33.24,13.07,0.37,18.55,2.93,0.13,3.65,5.64,40.33,5.41,13.69,
2020-03-23,47.34,35.34,62.93,0.32,20.24,2.98,0.16,3.71,5.73,41.55,5.63,62.45,
2020-03-24,53.64,47.34,0.33,0.37,20.21,2.96,0.14,3.66,5.59,56.65,6.17,0.33,
2020-03-25,54.9,53.64,0.23,0.44,25.43,2.96,0.17,3.77,6.44,62.86,6.75,0.84,
2020-03-26,44.64,54.9,0.25,0.42,25.48,2.96,0.13,3.69,5.87,62.7,6.8,0.92,
2020-03-27,51.33,44.64,0.22,0.4,28.26,2.94,0.11,3.59,6.42,53.86,7.34,0.82,
2020-03-28,34.54,51.33,0.23,0.44,29.89,2.92,0.35,3.89,8.76,60.03,7.69,0.66,
2020-03-29,39.47,34.54,0.19,0.36,28.47,2.93,0.13,3.64,7.99,41.95,7.8,0.6,
2020-03-30,27.27,39.47,0.19,0.42,29.05,2.93,0.24,3.79,7.4,48.07,7.67,0.73,
2020-03-31,38.6,27.27,0.18,0.4,30.99,2.95,0.25,3.8,6.74,33.9,7.9,0.8,
2020-04-01,36.22,38.6,36.6,0.45,32.95,2.98,0.26,3.94,6.12,49.19,8.11,37.17,
2020-04-02,30.35,36.22,0.15,0.4,32.94,2.93,0.25,3.86,9.24,48.66,8.36,0.55,
2020-04-03,24.05,30.35,0.08,0.29,23.37,2.9,0.21,3.75,10.87,39.84,8.25,0.47,
2020-04-04,26.47,24.05,0.08,0.26,21.6,2.97,0.25,3.79,11.09,41.95,8.16,0.42,
2020-04-05,35.13,26.47,10.03,0.31,26.0,2.96,0.08,3.5,5.76,33.51,8.79,10.52,
2020-04-06,33.19,35.13,0.12,0.31,25.1,2.96,0.15,3.69,7.94,43.65,8.49,0.52,
2020-04-07,24.92,33.19,0.12,0.3,22.71,2.92,0.3,3.85,13.38,42.17,8.78,0.38,
2020-04-08,39.15,24.92,0.08,0.27,23.73,2.97,0.18,3.74,9.67,31.74,8.69,0.41,
2020-04-09,38.01,39.15,6.27,0.39,22.95,3.32,0.31,4.47,7.66,45.79,7.81,6.66,
2020-04-10,30.06,38.01,0.16,0.41,27.97,4.41,0.13,5.7,5.62,45.39,4.52,0.7,
2020-04-11,21.7,30.06,0.15,0.37,30.0,4.37,0.17,5.74,6.71,35.53,4.77,0.71,
2020-04-12,28.33,21.7,8.27,0.27,26.24,4.33,0.12,5.6,8.47,27.32,4.54,8.6,
2020-04-13,46.26,28.33,0.12,0.36,28.53,6.24,0.39,8.44,10.16,33.24,5.3,0.57,
2020-04-14,40.72,46.26,29.29,0.47,31.28,10.26,0.45,14.04,2.97,49.81,5.66,29.74,
2020-04-15,22.63,40.72,1.55,0.42,30.38,11.4,0.51,15.65,0.72,48.87,5.71,2.05,
2020-04-16,15.06,22.63,4.18,0.28,23.59,11.4,0.33,15.49,0.79,28.06,5.52,4.62,
2020-04-17,19.5,15.06,0.05,0.22,14.87,11.4,0.36,15.51,2.46,19.85,5.43,0.35,
2020-04-18,10.48,19.5,0.05,0.25,17.65,11.44,0.25,15.38,1.17,25.12,6.06,0.31,
2020-04-19,11.79,10.48,0.03,0.22,19.03,11.44,0.11,15.2,1.27,14.73,6.4,0.33,
2020-04-20,9.53,11.79,1.02,0.25,19.13,11.47,0.95,16.08,8.71,18.9,6.79,1.41,
2020-04-21,8.53,9.53,10.19,0.27,16.64,11.54,0.75,15.94,7.67,20.94,6.62,10.54,
2020-04-22,10.42,8.53,0.05,0.24,15.61,11.47,0.34,15.48,1.3,11.26,6.61,0.45,
2020-04-23,5.74,10.42,0.06,0.26,16.78,11.56,0.26,15.49,1.75,14.56,6.96,0.49,
2020-04-24,3.14,5.74,0.03,0.21,12.4,11.53,0.34,15.57,1.16,9.67,6.79,0.31,
2020-04-25,1.97,3.14,7.73,0.18,17.91,11.51,0.2,14.68,0.55,5.83,7.47,8.0,
2020-04-26,5.4,1.97,6.7,0.18,12.44,11.54,0.13,15.25,1.78,4.06,6.98,6.95,
2020-04-27,3.55,5.4,8.33,0.25,17.69,11.62,0.27,15.57,0.22,9.88,7.21,8.74,
2020-04-28,3.85,3.55,6.89,0.26,17.07,11.7,0.18,15.6,,7.84,6.97,7.42,
2020-04-29,4.49,3.85,13.67,0.21,15.28,11.6,0.17,15.4,,6.78,7.23,14.03,
2020-04-30,7.92,4.49,20.86,0.24,14.49,11.7,0.3,15.65,1.55,8.9,6.6,21.42,
2020-05-01,8.24,7.92,0.06,0.3,18.21,11.68,0.35,15.71,1.61,12.97,6.47,0.76,
2020-05-02,5.48,8.24,10.3,0.28,16.69,11.6,0.23,15.48,0.1,13.13,6.46,10.91,
2020-05-03,6.32,5.48,16.64,0.19,14.56,11.53,0.08,15.15,0.07,9.88,6.42,17.0,
2020-05-04,10.16,6.32,22.57,0.23,15.74,11.56,0.22,15.43,0.41,11.92,6.93,22.98,
2020-05-05,6.15,10.16,6.11,0.27,18.64,11.58,0.25,15.58,0.12,14.63,7.6,6.56,
2020-05-06,3.93,6.15,3.21,0.24,15.26,13.16,0.63,16.56,2.82,8.99,7.36,3.68,
2020-05-07,13.61,3.93,10.76,0.27,19.43,11.51,0.18,15.43,0.19,6.85,8.04,11.43,
2020-05-08,13.29,13.61,22.22,0.32,22.37,11.52,0.49,15.75,2.66,17.4,8.51,22.76,
2020-05-09,16.09,13.29,0.07,0.37,27.89,11.54,0.34,15.65,0.24,19.14,8.6,1.0,
2020-05-10,25.35,16.09,0.06,0.31,32.66,11.47,0.09,15.21,0.06,20.04,8.61,0.82,
2020-05-11,27.97,25.35,12.22,0.39,29.77,11.55,0.69,15.98,7.63,31.71,8.87,13.15,
2020-05-12,23.72,27.97,0.12,0.42,29.94,11.51,0.44,15.73,0.18,33.56,8.91,1.04,
2020-05-13,21.05,23.72,5.14,0.37,21.17,11.51,0.6,15.86,1.74,28.88,8.41,5.68,
2020-05-14,14.82,21.05,8.15,0.32,23.68,11.46,0.65,15.85,7.27,24.86,9.08,8.56,
2020-05-15,8.3,14.82,10.0,0.31,23.19,11.65,0.35,15.83,0.05,19.67,9.06,10.96,
2020-05-16,12.42,8.3,14.93,0.27,22.47,11.6,0.29,15.67,,12.62,9.19,15.51,
2020-05-17,17.92,12.42,,0.23,25.82,11.49,0.12,15.26,0.04,18.0,9.84,,
2020-05-18,18.83,17.92,39.79,0.38,28.94,11.55,0.56,15.89,4.03,25.29,10.05,40.5,
2020-05-19,6.53,18.83,13.31,0.36,25.16,11.59,0.48,15.9,1.16,24.52,9.84,13.96,
2020-05-20,8.97,6.53,3.61,0.31,17.62,11.81,0.51,16.12,0.44,10.27,9.81,3.97,
2020-05-21,14.67,8.97,0.02,0.21,13.24,11.41,0.34,15.53,2.88,14.44,10.1,0.22,
2020-05-22,16.13,14.67,0.02,0.25,11.35,11.48,0.36,15.59,1.07,19.13,9.92,0.3,
2020-05-23,13.4,16.13,28.67,0.25,16.11,11.49,0.27,15.52,0.28,21.52,10.88,28.82,
2020-05-24,9.72,13.4,16.38,0.19,15.75,11.38,0.09,15.1,0.68,19.09,11.19,16.57,
2020-05-25,9.03,9.72,11.99,0.19,14.45,11.49,0.28,15.49,1.77,14.84,11.14,12.1,
2020-05-26,1.96,9.03,0.04,0.22,12.13,11.57,0.42,15.65,2.5,13.23,11.09,0.26,
2020-05-27,3.47,1.96,3.34,0.21,16.72,15.59,0.62,20.63,4.82,4.32,11.13,3.51,
2020-05-28,3.62,3.47,0.38,0.24,19.71,11.6,0.35,15.67,2.67,9.67,11.89,4.02,
2020-05-29,3.43,3.62,3.06,0.24,12.68,11.59,0.47,15.72,1.98,7.84,11.24,3.58,
2020-05-30,3.68,3.43,30.73,0.22,12.93,11.61,0.21,15.46,0.24,7.24,11.38,31.04,
2020-05-31,4.52,3.68,,0.17,12.87,11.54,0.08,15.13,0.1,7.45,11.58,,
2020-06-01,3.96,4.52,14.32,0.22,12.84,12.06,0.59,15.89,3.37,9.11,11.83,14.63,
2020-06-02,2.33,3.96,,0.24,13.28,11.74,0.21,15.7,,8.56,12.13,,
2020-06-03,2.17,2.33,36.41,0.24,14.43,11.68,0.29,15.65,2.76,6.33,12.24,36.5,
2020-06-04,2.49,2.17,3.74,0.19,16.06,11.64,0.22,15.57,2.8,4.57,12.61,4.0,
2020-06-05,2.81,2.49,17.11,0.24,25.23,20.36,0.7,25.15,3.3,7.33,12.97,17.44,
2020-06-06,5.2,2.81,,0.21,18.88,11.75,0.15,15.62,,6.19,12.82,,
2020-06-07,14.44,5.2,,0.18,19.16,11.58,0.09,15.25,,,12.16,,
2020-06-08,10.08,14.44,10.9,0.41,22.38,11.79,0.76,16.31,0.87,22.3,13.0,11.62,
2020-06-09,1.54,10.08,0.04,0.33,24.75,11.62,0.13,15.49,,13.04,13.48,0.55,
2020-06-10,,1.54,65.53,0.22,21.4,11.77,0.1,15.52,,2.79,13.44,65.67,
2020-06-11,0.99,,1.59,0.21,20.59,11.79,0.31,15.78,1.92,6.11,13.53,1.9,
2020-06-12,1.4,0.99,0.03,0.2,21.22,11.67,0.25,15.53,3.6,8.1,11.92,0.33,
2020-06-13,0.98,1.4,81.92,0.17,22.03,11.65,0.07,15.31,4.35,5.8,8.11,82.01,
2020-06-14,1.19,0.98,,0.16,24.59,11.63,0.07,15.17,3.77,4.59,8.82,,
2020-06-15,1.14,1.19,,0.17,24.48,11.66,0.07,15.3,4.17,4.99,8.52,,
2020-06-16,,1.14,12.62,0.17,20.36,11.83,0.37,15.85,4.86,6.19,8.62,12.86,
2020-06-17,1.25,,35.02,0.16,19.46,13.01,0.33,15.57,4.5,1.99,5.65,35.09,
