Date,NextDayPM2.5,PM2.5,Benzene,CO,NH3,NO,NO2,NOx,O3,PM10,SO2,Toluene,Xylene
2017-11-24,81.4,71.36,0.17,0.1,12.19,1.75,20.65,12.4,109.26,115.75,10.76,5.92,0.1
2017-11-25,78.32,81.4,0.2,0.12,10.72,1.44,20.5,12.08,127.09,124.5,15.24,6.5,0.06
2017-11-26,88.76,78.32,0.22,0.14,10.28,1.26,26.0,14.85,117.44,129.06,26.96,7.95,0.08
2017-11-27,64.18,88.76,0.29,0.11,12.91,6.6,30.85,21.77,111.81,135.32,33.59,7.63,0.12
2017-11-28,72.47,64.18,0.17,0.09,11.42,2.56,28.07,17.01,138.18,104.09,19.0,5.02,0.07
2017-11-29,69.8,72.47,0.21,0.16,12.25,5.23,23.2,16.59,109.74,114.84,10.55,4.71,0.08
2017-11-30,73.96,69.8,0.16,0.12,10.95,4.69,20.17,14.54,118.09,114.86,14.07,3.52,0.06
2017-12-01,89.9,73.96,0.17,0.1,10.95,4.58,19.29,13.97,123.8,113.56,13.9,2.85,0.04
2017-12-02,87.14,89.9,0.25,0.1,13.12,7.71,26.19,19.87,128.73,140.2,19.37,2.79,0.07
2017-12-03,84.64,87.14,0.23,0.15,14.36,0.97,21.31,12.12,114.8,130.52,11.41,3.82,0.04
2017-12-04,88.36,84.64,0.31,0.18,14.41,4.02,26.98,17.58,112.41,125.0,9.84,3.53,0.09
2017-12-05,96.83,88.36,0.24,0.12,13.72,3.7,20.23,13.75,117.93,121.77,14.02,2.92,0.03
2017-12-06,117.46,96.83,0.29,0.11,15.12,1.6,25.65,14.99,117.21,139.36,16.54,4.45,0.07
2017-12-07,122.88,117.46,0.36,0.13,17.34,4.26,41.1,25.32,94.63,181.64,28.79,6.21,0.17
2017-12-08,74.28,122.88,0.36,0.27,17.96,5.56,54.87,33.71,68.6,208.86,22.97,6.28,0.21
2017-12-09,50.32,74.28,0.26,0.09,15.73,6.1,44.97,28.88,60.62,141.22,21.9,4.79,0.16
2017-12-10,58.47,50.32,0.2,0.1,12.56,1.73,33.85,19.41,68.15,102.77,13.65,4.29,0.1
2017-12-11,89.35,58.47,0.23,0.16,15.2,4.93,41.64,26.15,73.75,115.27,18.37,5.51,0.16
2017-12-12,64.42,89.35,0.28,0.24,21.24,7.97,42.1,28.88,44.67,131.48,7.42,7.01,0.19
2017-12-13,69.4,64.42,0.24,0.15,17.63,7.2,34.78,24.36,50.16,99.74,5.81,6.11,0.14
2017-12-14,71.07,69.4,0.23,0.14,19.34,5.81,29.97,20.67,55.0,98.94,5.8,5.09,0.14
2017-12-15,79.76,71.07,0.18,0.1,16.0,4.19,25.0,16.7,79.04,109.65,8.33,3.45,0.07
2017-12-16,108.06,79.76,0.24,0.17,15.56,8.77,40.92,28.84,73.17,129.81,8.51,4.41,0.13
2017-12-17,100.75,108.06,0.31,0.08,18.52,7.29,47.05,30.94,70.74,167.62,16.05,4.32,0.24
2017-12-18,106.25,100.75,0.26,0.11,18.49,7.63,53.94,33.45,59.2,172.04,14.05,3.77,0.19
2017-12-19,83.79,106.25,0.28,0.13,19.66,2.74,43.09,21.78,66.9,171.56,15.45,3.13,0.18
2017-12-20,79.98,83.79,0.29,0.3,17.37,6.77,47.47,30.74,77.54,141.83,13.35,3.7,0.15
2017-12-21,76.27,79.98,0.33,0.14,17.28,7.02,49.55,32.07,79.71,147.74,13.58,3.95,0.19
2017-12-22,86.5,76.27,0.29,0.15,19.53,7.51,56.0,35.9,56.97,152.59,29.88,4.44,0.19
2017-12-23,100.62,86.5,0.31,0.15,20.78,5.24,42.0,26.6,73.09,147.95,11.85,3.9,0.17
2017-12-24,110.73,100.62,0.34,0.22,23.68,3.75,47.68,28.41,62.78,167.75,10.85,4.81,0.29
2017-12-25,107.7,110.73,0.33,0.1,21.66,1.69,31.06,17.89,76.07,171.47,12.23,3.96,0.16
2017-12-26,104.81,107.7,0.33,0.17,22.52,4.97,43.54,27.2,64.6,170.21,18.07,4.01,0.16
2017-12-27,89.95,104.81,0.38,0.23,21.06,9.59,63.48,41.57,63.87,192.2,17.01,4.1,0.36
2017-12-28,74.58,89.95,0.36,0.27,18.87,10.95,64.53,43.23,62.49,175.16,15.52,4.12,0.23
2017-12-29,56.68,74.58,0.32,0.17,18.2,6.14,46.65,29.81,67.11,138.6,9.47,3.76,0.18
2017-12-30,61.03,56.68,0.25,0.1,16.86,4.6,33.26,21.44,66.91,109.33,8.26,3.28,0.14
2017-12-31,59.03,61.03,0.33,0.08,17.82,5.51,39.5,25.49,61.91,131.62,11.45,4.16,0.19
2018-01-01,61.88,59.03,0.23,0.09,18.03,3.45,23.36,15.23,87.55,108.83,26.05,3.2,0.09
2018-01-02,71.57,61.88,0.2,0.09,19.57,3.87,23.14,15.45,81.38,109.82,12.81,3.84,0.04
2018-01-03,92.44,71.57,0.24,0.09,25.61,5.01,39.99,25.36,80.3,137.48,16.82,6.55,0.11
2018-01-04,92.9,92.44,0.3,0.11,19.45,5.84,53.79,33.36,71.09,174.75,16.93,7.23,0.23
2018-01-05,85.15,92.9,0.29,0.08,21.02,6.38,56.39,35.19,68.79,162.69,23.11,7.88,0.2
