Date,NextDayPM2.5,PM2.5,Benzene,CO,NH3,NO,NO2,NOx,O3,PM10,SO2,Toluene,Xylene
2017-02-27,12.45,13.42,,0.81,1.6,15.06,8.86,,12.96,14.92,11.0,,
2017-02-28,19.52,12.45,,0.67,1.73,17.44,8.05,,11.88,13.8,16.06,,
2017-03-01,77.71,19.52,,0.43,1.48,14.77,6.02,,11.53,21.88,26.24,,
2017-03-02,19.7,77.71,,0.36,1.29,10.49,3.88,,18.68,80.27,22.35,,
2017-03-03,22.91,19.7,,0.37,1.15,9.91,3.13,,22.22,33.08,14.29,,
2017-03-04,29.56,22.91,,0.47,1.86,10.69,4.13,,26.62,56.19,8.42,,
2017-03-05,46.13,29.56,,0.39,1.26,8.95,2.66,,27.03,44.5,10.95,,
2017-03-06,44.3,46.13,,0.54,1.99,9.62,4.89,,26.3,62.88,30.27,,
2017-03-07,41.23,44.3,,0.36,2.4,9.4,5.32,,20.63,52.12,28.74,,
2017-03-08,29.88,41.23,,0.39,2.51,11.18,7.88,,22.44,52.75,21.4,,
2017-03-09,37.93,29.88,,0.36,2.31,10.64,11.66,,21.11,33.2,4.26,,
2017-03-10,32.46,37.93,,0.2,2.05,12.84,15.11,,25.06,43.69,6.38,,
2017-03-11,25.65,32.46,,0.0,6.82,10.93,19.67,,18.79,50.76,4.71,,
2017-03-12,41.36,25.65,,0.0,11.73,12.14,26.15,,15.64,54.59,8.32,,
2017-03-13,51.88,41.36,,0.0,11.71,11.4,25.88,,20.27,77.43,4.75,,
2017-03-14,51.59,51.88,,0.0,11.76,9.24,25.21,,30.34,86.64,7.72,,
2017-03-15,45.46,51.59,,0.0,12.33,10.03,26.05,,24.63,86.11,9.06,,
2017-03-16,152.17,45.46,0.0,0.0,12.56,13.23,26.38,,19.36,82.73,2.94,0.0,0.0
2017-03-17,72.87,152.17,,0.0,12.45,13.86,27.06,,21.78,93.68,3.17,,
2017-03-18,73.26,72.87,,0.0,12.03,10.71,26.07,,12.86,98.47,3.56,,
2017-03-19,65.26,73.26,,0.0,11.99,10.47,25.73,,11.77,97.64,1.85,,
2017-03-20,56.39,65.26,,0.0,12.4,9.38,25.23,,19.98,95.91,1.31,,
2017-03-21,55.43,56.39,,0.0,12.67,10.42,26.26,,19.83,92.68,2.97,,
2017-03-22,40.95,55.43,,0.0,13.0,13.56,28.39,,13.71,88.17,1.91,,
2017-03-23,40.99,40.95,,0.0,12.72,11.86,26.26,,21.21,77.09,1.03,,
2017-03-24,57.49,40.99,,0.0,12.41,9.68,24.95,,20.82,67.5,0.86,,
2017-03-25,45.98,57.49,,0.0,11.87,8.06,23.95,,24.66,80.09,2.29,,
2017-03-26,47.2,45.98,,0.0,12.35,8.94,23.68,,24.14,72.74,7.96,,
2017-03-27,58.95,47.2,,0.0,12.16,12.41,27.32,,31.95,78.45,3.29,,
2017-03-28,39.4,58.95,,0.0,12.03,10.69,30.37,,33.22,83.09,4.97,,
2017-03-29,39.47,39.4,,0.0,12.31,12.1,30.1,,33.88,66.81,2.04,,
2017-03-30,52.77,39.47,,0.0,12.66,11.17,30.88,,28.11,71.86,3.9,,
2017-03-31,16.38,52.77,,0.0,13.3,11.76,31.49,,26.72,72.49,2.11,,
2017-04-01,20.11,16.38,,0.0,12.84,13.47,31.72,,23.22,25.27,3.28,,
2017-04-02,42.05,20.11,,0.0,12.37,12.78,30.57,,25.45,34.76,4.88,,
2017-04-03,40.64,42.05,,0.0,10.01,3.55,23.44,,21.0,88.9,2.61,,
2017-04-04,31.96,40.64,,0.0,16.51,8.88,27.46,,16.77,63.97,2.64,,
2017-04-05,,31.96,,0.0,19.88,12.81,30.01,,18.72,59.43,2.96,,
2017-04-06,,,,,,,,,,,,,
2017-04-07,33.2,,,,,,,,,,,,
2017-04-08,24.29,33.2,,0.0,29.59,16.68,40.39,,22.8,49.73,4.31,,
2017-04-09,30.05,24.29,,0.0,30.36,20.48,37.9,,18.12,39.48,5.14,,
2017-04-10,41.4,30.05,,0.0,29.24,14.87,19.08,,27.2,55.59,3.23,,
2017-04-11,33.11,41.4,,0.0,29.47,13.62,21.1,,22.06,62.53,5.88,,
2017-04-12,50.72,33.11,,0.0,28.98,12.64,19.74,,15.98,58.18,1.1,,
2017-04-13,25.84,50.72,,0.0,29.37,12.78,23.29,,24.73,70.44,7.12,,
2017-04-14,24.3,25.84,,0.0,29.11,12.4,21.97,,28.36,28.59,2.6,,
2017-04-15,33.02,24.3,,0.0,29.06,12.55,21.26,,31.65,27.21,3.13,,
2017-04-16,53.08,33.02,,0.0,28.81,11.88,20.9,,31.99,45.93,11.78,,
2017-04-17,82.91,53.08,,0.0,28.7,13.42,20.53,,24.0,101.55,7.66,,
2017-04-18,32.08,82.91,,0.0,28.86,14.58,20.7,,29.95,116.95,8.74,,
2017-04-19,27.6,32.08,,0.0,28.73,16.02,21.29,,25.46,94.3,12.41,,
2017-04-20,56.22,27.6,,0.0,28.94,15.53,22.4,,19.14,39.29,15.52,,
2017-04-21,,56.22,,0.0,27.97,12.13,16.5,,24.91,94.96,7.77,,
2017-04-22,,,,,,,,,,,,,
2017-04-23,23.98,,,,,,,,,,,,
2017-04-24,25.74,23.98,,0.0,28.71,17.29,16.95,,14.81,,4.86,,
2017-04-25,28.28,25.74,,0.0,28.63,17.33,16.62,,14.42,,5.49,,
2017-04-26,25.1,28.28,,0.0,28.5,15.97,17.11,,15.2,,5.78,,
2017-04-27,25.99,25.1,,0.0,28.27,14.79,16.71,,13.77,,7.31,,
2017-04-28,27.14,25.99,,0.0,28.26,14.47,17.07,,15.0,,12.18,,
2017-04-29,25.81,27.14,,0.0,28.42,15.96,16.78,,14.22,,7.85,,
2017-04-30,23.96,25.81,,0.0,28.3,15.62,16.07,,13.02,,5.27,,
2017-05-01,41.54,23.96,,0.0,28.38,15.77,16.56,,13.83,,9.33,,
2017-05-02,52.43,41.54,,0.0,28.71,12.43,10.76,,31.76,124.19,9.99,,
2017-05-03,53.42,52.43,,0.0,30.36,14.68,16.31,,13.82,105.5,7.51,,
2017-05-04,194.39,53.42,,0.0,30.45,14.43,16.67,,14.19,91.16,11.67,,
2017-05-05,296.84,194.39,,0.0,30.32,13.94,16.7,,16.02,100.51,14.47,,
2017-05-06,105.49,296.84,,0.0,30.49,13.41,16.92,,15.81,138.35,15.32,,
2017-05-07,868.66,105.49,,0.0,30.52,14.23,16.7,,14.66,125.37,18.78,,
2017-05-08,,868.66,,0.0,30.05,13.21,16.46,,15.99,116.29,27.92,,
2017-05-09,832.8,,,0.0,30.0,14.23,16.57,,14.46,156.75,15.77,,
2017-05-10,595.88,832.8,,0.0,29.12,11.59,15.78,,25.25,145.53,5.84,,
2017-05-11,157.6,595.88,,0.0,29.09,12.27,15.87,,15.85,219.63,4.57,,
2017-05-12,53.9,157.6,,0.0,29.27,12.68,16.01,,16.36,94.34,10.25,,
2017-05-13,40.51,53.9,,0.0,29.05,12.69,15.91,,15.59,124.48,7.37,,
2017-05-14,,40.51,,0.0,28.95,12.86,16.19,,15.09,121.36,16.06,,
2017-05-15,57.8,,,0.0,28.86,12.7,15.71,,15.33,113.72,15.43,,
2017-05-16,41.85,57.8,5.16,0.0,28.33,12.52,15.04,,16.46,86.43,4.74,,
2017-05-17,54.1,41.85,5.22,0.0,28.2,13.63,15.05,,15.39,72.79,5.38,,
2017-05-18,42.41,54.1,5.17,0.0,27.91,11.38,14.9,,22.22,96.51,12.93,,
2017-05-19,45.32,42.41,5.19,0.0,28.04,11.97,15.07,,16.05,99.64,7.06,,
2017-05-20,43.97,45.32,5.53,0.0,28.0,12.25,15.1,,14.62,387.65,3.04,,
2017-05-21,36.59,43.97,6.3,0.0,28.2,14.05,15.07,,12.34,,14.11,,
2017-05-22,30.55,36.59,5.88,0.0,28.17,13.41,15.23,,,,7.01,,
2017-05-23,192.7,30.55,5.93,0.0,28.1,12.37,15.35,,,,10.46,,
2017-05-24,37.67,192.7,6.33,0.0,28.02,11.8,15.19,,,,6.59,,
2017-05-25,25.3,37.67,6.4,0.0,28.08,11.47,15.34,,,,12.69,,
2017-05-26,20.42,25.3,6.2,0.0,28.01,11.68,15.02,,,,9.15,,
2017-05-27,17.64,20.42,5.54,0.0,27.94,11.57,14.94,,,,9.78,,
2017-05-28,19.68,17.64,5.4,0.0,27.84,11.61,14.63,,,,6.27,,
2017-05-29,26.47,19.68,5.4,0.0,27.86,11.98,14.75,,,,3.32,,
2017-05-30,29.12,26.47,5.16,0.0,27.7,10.84,14.04,,28.62,68.35,4.25,,
2017-05-31,34.99,29.12,5.17,0.0,27.7,11.7,14.09,,11.51,63.49,3.33,,
2017-06-01,47.59,34.99,5.24,0.0,28.28,15.13,15.07,,4.84,68.71,6.14,,
2017-06-02,58.68,47.59,5.22,0.0,27.89,11.58,15.25,,19.74,98.57,11.06,,
2017-06-03,48.49,58.68,5.33,0.0,27.95,14.0,14.49,,22.7,109.6,15.24,,
2017-06-04,38.78,48.49,4.8,0.0,27.85,21.53,14.2,,20.98,120.47,9.84,2.95,1.12
2017-06-05,89.01,38.78,,0.0,42.87,21.9,36.62,,11.54,143.52,12.61,,
2017-06-06,39.74,89.01,,0.0,27.61,21.16,13.43,,11.92,240.82,7.22,,
2017-06-07,38.25,39.74,,0.0,41.2,47.31,31.09,,10.97,72.35,6.7,,
2017-06-08,38.93,38.25,,0.0,27.67,22.61,14.02,,12.77,76.8,3.1,,
2017-06-09,44.76,38.93,,0.0,27.69,21.73,13.56,,10.26,79.5,5.56,,
2017-06-10,33.88,44.76,,0.0,27.71,21.79,13.59,,10.9,91.2,3.03,,
2017-06-11,41.62,33.88,,0.0,27.74,22.01,13.79,,5.17,53.64,5.84,,
2017-06-12,49.45,41.62,,0.0,27.81,22.31,13.84,,5.62,73.06,6.97,,
2017-06-13,36.81,49.45,,0.0,27.48,20.11,13.43,,22.07,86.66,6.14,,
