Date,NextDayPM2.5,PM2.5,Benzene,CO,NH3,NO,NO2,NOx,O3,PM10,SO2,Toluene,Xylene
2015-01-01,,,0.56,0.33,20.36,3.26,17.33,10.88,10.73,,3.54,4.64,
2015-01-02,,,0.65,1.35,23.74,6.05,19.73,14.14,22.77,,3.97,5.31,
2015-01-03,,,0.53,17.4,4.32,11.91,19.88,20.72,12.03,,13.61,19.25,
2015-01-04,,,0.55,5.05,0.87,7.45,21.61,16.88,17.7,,6.52,7.47,
2015-01-05,,,0.4,1.83,31.38,9.52,22.17,21.76,12.72,,4.71,4.36,
2015-01-06,,,22.68,0.52,26.35,6.6,23.2,16.24,13.82,,4.42,4.11,
2015-01-07,,,34.66,1.46,22.73,22.6,28.66,30.84,16.98,,5.13,8.65,
2015-01-08,,,31.0,2.3,38.67,7.5,31.1,21.16,17.35,,7.07,8.6,
2015-01-09,,,30.51,0.54,23.48,6.75,25.98,15.03,16.27,,12.84,8.44,
2015-01-10,,,36.42,1.69,34.17,3.38,29.23,16.76,25.01,,3.08,13.41,
2015-01-11,,,44.91,2.59,29.74,3.97,29.84,17.49,16.07,,8.2,27.67,
2015-01-12,,,38.04,0.61,41.39,10.85,28.4,21.85,16.41,,7.16,41.87,
2015-01-13,,,39.44,0.63,35.34,10.65,30.56,22.9,10.34,,6.51,14.6,
2015-01-14,,,27.38,1.83,39.82,9.09,25.94,19.43,16.47,,8.66,8.7,
2015-01-15,,,25.84,3.29,21.43,6.79,20.64,15.92,19.35,,6.24,15.67,
2015-01-16,,,25.14,16.41,10.27,10.74,18.51,22.36,16.02,,19.28,36.72,
2015-01-17,,,24.29,15.98,11.05,8.17,17.37,21.64,14.33,,24.91,21.54,
2015-01-18,,,23.23,9.04,14.23,6.16,17.2,18.79,22.48,,22.18,20.05,
2015-01-19,,,21.14,8.09,13.47,7.83,16.74,19.44,23.34,,27.99,14.85,
2015-01-20,,,36.25,4.05,7.29,10.44,7.24,22.66,103.68,,92.66,9.93,
2015-01-21,,,,18.3,5.07,7.02,5.45,18.26,,,82.07,,
2015-01-22,,,23.36,3.32,3.65,17.15,13.57,29.6,41.95,,57.51,39.25,
2015-01-23,,,22.15,5.04,10.06,3.8,12.82,12.0,17.78,,27.33,14.52,
2015-01-24,,,19.86,2.42,14.88,4.77,16.27,9.73,14.72,,6.47,8.48,
2015-01-25,,,19.21,3.39,15.42,3.19,16.32,8.72,16.27,,3.32,7.37,
2015-01-26,,,18.29,5.39,16.63,2.27,13.85,8.43,21.35,,2.95,9.1,
2015-01-27,,,17.69,1.71,18.57,10.92,16.71,15.67,27.37,,3.09,5.15,
2015-01-28,,,21.78,4.87,16.15,6.31,14.85,11.58,17.05,,6.53,9.43,
2015-01-29,,,17.3,2.26,16.4,86.9,10.45,49.95,18.78,,3.03,5.42,
2015-01-30,,,14.55,1.06,13.32,62.22,4.93,51.53,19.51,,24.31,3.54,
2015-01-31,,,17.23,0.46,7.77,36.24,11.11,30.07,23.21,,29.18,2.92,
2015-02-01,,,12.01,0.36,7.48,2.99,22.14,13.01,20.75,,7.36,2.2,
2015-02-02,,,14.08,0.46,11.33,5.83,19.19,13.06,19.75,,6.14,3.76,
2015-02-03,,,16.08,0.59,11.78,4.56,18.47,12.44,20.64,,5.02,3.41,
2015-02-04,,,14.9,1.08,11.88,5.92,22.46,15.19,18.62,,4.46,3.43,
2015-02-05,,,6.53,0.59,11.11,12.17,26.36,20.48,16.06,,7.65,16.08,
2015-02-06,,,19.99,0.5,11.71,5.04,25.98,16.42,13.76,,3.12,13.55,
2015-02-07,,,17.83,1.45,12.88,10.59,22.46,18.41,20.96,,5.51,3.94,
2015-02-08,,,18.69,0.45,8.84,7.18,26.06,16.75,22.81,,7.25,4.67,
2015-02-09,,,0.9,0.64,13.61,3.78,22.48,13.7,31.01,,3.37,11.86,
2015-02-10,,,,0.77,13.04,4.97,20.18,13.54,39.86,,1.04,1.68,
2015-02-11,,,0.6,0.57,12.44,10.52,26.52,20.81,32.19,,1.64,2.44,
2015-02-12,,,0.6,0.96,26.22,10.1,21.47,18.0,44.15,,12.98,2.86,
2015-02-13,,,0.49,1.32,19.31,16.74,21.85,23.38,37.79,,7.56,2.97,
2015-02-14,,,0.51,0.9,17.14,11.29,26.05,21.19,31.76,,5.18,3.45,
2015-02-15,,,0.44,0.76,11.14,4.71,23.68,15.19,45.16,,4.82,1.74,
2015-02-16,,,,2.35,10.67,10.65,24.41,19.88,49.3,,3.84,16.04,
2015-02-17,,,46.44,0.83,4.66,15.95,24.68,24.11,44.34,,13.39,29.45,
2015-02-18,,,40.42,3.23,6.34,17.48,23.38,23.51,28.85,,17.62,42.4,
2015-02-19,,,69.69,2.18,19.81,14.46,27.71,24.33,31.69,,11.15,36.1,
2015-02-20,,,69.54,6.95,31.1,10.0,22.83,18.26,33.43,,12.52,30.4,
2015-02-21,,,,8.98,12.5,4.77,21.34,14.07,39.2,,14.25,8.98,
2015-02-22,,,,6.28,13.56,8.27,24.09,17.26,54.18,,13.11,6.28,
2015-02-23,,,,13.56,15.44,7.39,24.14,16.93,53.97,,11.93,13.56,
2015-02-24,,,,4.78,17.21,13.49,28.8,24.25,40.55,,5.76,6.43,
2015-02-25,,,,1.49,21.85,13.88,29.78,24.83,51.91,,6.5,1.53,
2015-02-26,,,,1.24,17.22,9.7,31.32,22.64,65.41,,7.13,1.3,
2015-02-27,,,,1.14,20.09,6.52,26.9,18.07,66.49,,4.0,1.09,
2015-02-28,,,,1.38,17.43,2.94,19.57,11.15,62.61,,2.82,1.38,
2015-03-01,,,,0.48,15.23,2.52,10.39,10.91,51.37,,6.93,0.48,
2015-03-02,,,,3.56,33.23,4.23,18.06,14.59,58.97,,6.72,4.06,
2015-03-03,,,,14.67,30.4,7.81,19.56,17.16,43.5,,8.6,14.77,
