Date,NextDayPM2.5,PM2.5,Benzene,CO,NH3,NO,NO2,NOx,O3,PM10,SO2,Toluene,Xylene
2019-06-12,21.57,38.46,0.04,1.16,9.32,6.68,4.31,10.98,29.8,43.49,10.25,0.43,
2019-06-13,25.27,21.57,0.04,1.14,8.8,6.57,4.95,11.52,25.46,27.05,9.75,0.23,
2019-06-14,30.04,25.27,0.04,1.18,8.21,6.86,5.35,12.21,23.45,32.08,10.92,0.31,
2019-06-15,24.54,30.04,0.04,1.15,7.35,7.37,6.23,13.6,17.24,35.85,10.51,0.27,
2019-06-16,33.9,24.54,0.02,1.11,6.65,6.23,4.1,10.33,22.96,31.41,9.0,0.09,
2019-06-17,52.45,33.9,0.03,1.2,5.88,6.38,4.63,11.01,21.44,46.17,10.29,0.2,
2019-06-18,41.86,52.45,0.02,1.29,8.29,6.4,4.83,11.23,21.6,60.71,13.17,0.07,
2019-06-19,31.96,41.86,0.0,1.23,7.91,6.42,5.13,11.54,26.17,53.51,10.78,0.0,
2019-06-20,30.91,31.96,0.0,1.06,8.5,10.09,8.43,18.53,24.67,40.35,10.19,0.0,
2019-06-21,25.27,30.91,0.0,1.37,25.32,11.92,11.82,22.0,32.98,41.09,16.35,0.0,
2019-06-22,14.62,25.27,0.0,1.13,17.23,7.16,9.76,16.92,24.69,31.0,12.64,0.0,
2019-06-23,31.72,14.62,0.0,0.92,11.82,6.14,7.23,13.37,29.76,21.66,9.3,0.0,
2019-06-24,45.61,31.72,0.0,1.01,12.78,7.53,9.86,17.39,25.1,40.05,10.14,0.0,
2019-06-25,47.61,45.61,0.0,1.07,16.78,7.41,8.76,16.17,23.55,58.71,12.19,0.0,
2019-06-26,40.11,47.61,0.0,1.08,17.37,7.68,9.09,16.77,22.5,60.24,11.53,0.0,
2019-06-27,40.07,40.11,0.0,1.09,16.98,7.7,8.03,15.73,20.05,58.23,12.98,0.0,
2019-06-28,39.21,40.07,0.0,1.09,16.77,7.08,7.6,14.68,22.67,54.75,11.29,0.0,
2019-06-29,24.28,39.21,0.0,1.05,16.48,6.98,7.64,14.62,24.46,54.24,11.11,0.0,
2019-06-30,25.21,24.28,0.0,0.91,13.2,6.03,5.44,11.47,23.45,33.56,9.87,0.0,
2019-07-01,32.92,25.21,0.02,0.89,13.79,7.14,7.22,14.36,21.47,39.66,9.53,0.13,
2019-07-02,32.66,32.92,0.06,1.13,23.1,9.74,8.87,18.61,21.03,46.75,12.05,0.19,
2019-07-03,40.89,32.66,0.05,1.14,17.79,9.48,8.66,18.14,16.94,44.95,10.79,0.29,
2019-07-04,31.52,40.89,0.05,1.11,,9.23,9.57,18.79,16.05,49.26,10.44,0.25,
2019-07-05,34.24,31.52,0.06,1.19,,9.43,7.96,17.39,17.62,39.65,10.58,0.29,
2019-07-06,18.28,34.24,0.09,1.29,,9.66,7.25,16.91,18.07,42.61,12.44,0.3,
2019-07-07,20.57,18.28,0.03,1.02,,8.25,5.0,13.25,17.73,24.06,9.08,0.06,
2019-07-08,22.24,20.57,0.04,1.08,28.83,21.38,9.03,16.33,18.84,30.17,9.95,0.22,
2019-07-09,32.66,22.24,0.03,1.1,33.46,12.11,16.56,28.67,15.45,30.83,9.17,0.27,
2019-07-10,38.05,32.66,0.04,1.12,32.64,10.8,16.06,26.86,20.99,42.31,10.15,0.22,
2019-07-11,43.69,38.05,0.04,1.16,31.08,11.61,18.12,29.73,21.53,50.06,9.78,0.36,
2019-07-12,33.18,43.69,0.04,1.21,30.6,13.81,16.21,30.02,15.25,57.64,9.97,0.42,
2019-07-13,20.3,33.18,0.03,1.2,28.84,11.79,16.49,28.28,17.25,43.18,9.32,0.31,
2019-07-14,25.52,20.3,0.02,1.08,26.22,11.04,15.35,26.39,16.49,28.53,8.76,0.15,
2019-07-15,33.77,25.52,0.04,1.17,26.58,9.89,15.81,25.7,23.05,37.46,10.05,0.27,
2019-07-16,26.0,33.77,0.04,1.11,27.95,10.69,16.19,26.88,20.52,60.13,9.86,0.34,
