Date,NextDayPM2.5,PM2.5,Benzene,CO,NH3,NO,NO2,NOx,O3,PM10,SO2,Toluene,Xylene
2020-01-22,62.48,46.54,,1.25,27.89,21.86,84.84,99.99,19.69,113.87,7.01,0.0,
2020-01-23,62.87,62.48,,1.33,25.35,22.08,55.67,73.57,9.54,110.34,6.48,0.0,
2020-01-24,61.76,62.87,,1.44,25.6,37.44,60.49,97.8,9.06,114.86,6.91,0.0,
2020-01-25,66.76,61.76,,1.34,22.11,92.78,67.73,160.51,11.29,113.7,6.68,0.0,
2020-01-26,67.99,66.76,,1.36,20.7,106.79,58.69,165.49,11.43,113.24,6.75,0.05,
2020-01-27,68.04,67.99,,1.31,19.87,100.13,57.16,157.29,10.63,114.06,6.21,0.0,
2020-01-28,71.79,68.04,,1.38,20.26,85.93,56.04,141.97,9.78,119.42,6.06,0.05,
2020-01-29,52.43,71.79,,1.4,21.6,73.72,59.63,133.35,14.14,119.6,4.93,0.0,
2020-01-30,46.71,52.43,,1.36,19.78,92.06,54.21,146.26,11.96,99.98,9.03,0.0,
2020-01-31,43.87,46.71,,1.32,19.59,106.14,53.77,159.91,14.61,109.08,20.29,0.0,
2020-02-01,43.18,43.87,,1.13,22.65,46.26,63.37,108.53,15.89,95.77,20.31,0.0,
2020-02-02,53.08,43.18,,0.96,22.68,16.12,53.51,64.08,15.05,83.08,21.4,0.0,
2020-02-03,61.09,53.08,,1.08,13.66,31.15,43.92,77.16,14.28,97.71,20.68,0.0,
2020-02-04,63.96,61.09,,1.33,2.34,33.28,26.5,74.86,15.24,107.42,20.68,0.0,
2020-02-05,45.35,63.96,,1.36,7.67,42.85,19.25,59.33,8.47,108.51,13.97,0.01,
2020-02-06,53.29,45.35,,1.2,10.04,84.08,33.31,76.55,8.84,96.72,13.44,0.0,
2020-02-07,49.9,53.29,,1.24,2.91,84.56,14.51,74.31,4.8,108.96,20.96,0.0,
2020-02-08,43.48,49.9,,1.18,2.72,75.65,14.2,66.72,8.81,140.63,20.81,0.0,
2020-02-09,46.11,43.48,,1.04,2.51,62.61,11.28,55.44,12.56,111.94,21.71,0.0,
2020-02-10,46.9,46.11,,1.07,2.82,66.59,18.02,60.21,11.61,123.94,19.31,0.0,
2020-02-11,56.29,46.9,,1.13,2.64,64.46,17.39,56.66,12.32,122.94,23.75,0.0,
2020-02-12,60.32,56.29,,1.28,2.94,68.0,18.4,63.96,12.4,136.05,23.29,0.0,
2020-02-13,59.82,60.32,,1.3,2.23,61.07,20.46,57.2,12.78,136.7,21.96,0.0,
2020-02-14,64.43,59.82,,1.31,1.52,56.48,17.74,50.77,9.54,140.51,20.98,0.0,
2020-02-15,51.19,64.43,,1.36,2.11,67.0,10.62,56.76,3.79,140.64,20.63,0.0,
2020-02-16,62.65,51.19,,1.15,2.8,68.55,6.08,53.11,2.56,115.31,20.7,0.0,
2020-02-17,67.72,62.65,,1.31,3.37,63.33,37.0,61.56,10.61,134.46,20.91,0.0,
2020-02-18,143.85,67.72,,1.44,2.26,50.98,26.49,50.72,15.38,131.39,21.77,0.0,
2020-02-19,66.64,143.85,,1.57,2.88,48.81,26.94,52.08,15.5,201.76,23.25,0.0,
2020-02-20,69.07,66.64,,1.44,1.39,48.52,22.23,47.8,16.68,120.58,22.34,0.0,
2020-02-21,49.41,69.07,,1.48,1.34,48.28,19.33,48.61,14.07,121.04,21.13,0.0,
2020-02-22,48.39,49.41,,1.44,3.96,57.02,22.44,56.52,13.13,99.69,20.98,0.0,
2020-02-23,58.24,48.39,,1.26,2.01,43.2,18.53,39.28,14.62,85.13,21.0,0.0,
2020-02-24,50.07,58.24,,1.46,2.43,32.9,22.26,34.51,13.98,109.65,21.84,0.0,
2020-02-25,71.43,50.07,,1.48,2.26,27.17,16.15,25.03,12.16,95.35,22.41,0.0,
2020-02-26,56.51,71.43,,1.51,2.6,33.65,14.08,26.33,8.88,113.52,22.03,0.0,
2020-02-27,54.02,56.51,,1.41,3.49,82.41,13.47,68.71,5.65,100.73,21.85,0.0,
2020-02-28,47.0,54.02,,1.54,3.57,84.9,14.11,70.87,4.43,97.41,21.01,0.0,
