Date,NextDayPM2.5,PM2.5,Benzene,CO,NH3,NO,NO2,NOx,O3,PM10,SO2,Toluene,Xylene
2018-04-10,29.0,34.38,,1.0,2.52,,40.97,,,57.0,25.46,,
2018-04-11,21.7,29.0,4.64,0.98,3.59,3.26,34.03,45.29,30.99,50.87,10.32,0.88,
2018-04-12,23.09,21.7,5.33,0.73,3.77,3.49,39.49,42.54,43.72,43.04,,1.76,
2018-04-13,21.56,23.09,6.78,0.98,3.88,3.69,33.03,36.72,41.65,46.49,,2.23,
2018-04-14,30.28,21.56,5.09,1.0,4.22,2.81,26.62,29.43,44.07,42.1,,2.33,
2018-04-15,26.72,30.28,7.12,0.81,2.87,2.49,43.03,45.52,63.88,54.89,,2.6,
2018-04-16,24.37,26.72,5.18,1.11,3.7,2.63,28.94,31.56,49.57,51.27,,1.71,
2018-04-17,,24.37,4.92,1.15,2.12,6.12,32.93,39.05,36.86,40.66,,1.06,
2018-04-18,,,5.16,1.09,24.86,3.74,31.44,35.18,31.63,,,0.75,
2018-04-19,,,5.52,1.17,15.31,4.11,29.44,33.55,26.67,,,1.12,
2018-04-20,,,4.8,1.16,12.04,4.32,25.24,29.56,26.16,,,0.65,
2018-04-21,,,4.3,1.13,9.56,3.3,26.3,29.59,26.17,,,0.5,
2018-04-22,,,5.19,1.09,9.59,3.03,29.27,32.3,27.77,,,0.96,
2018-04-23,,,7.06,1.11,10.51,3.17,34.2,37.37,30.89,,,1.38,
2018-04-24,,,8.43,1.01,14.19,11.32,52.42,63.74,46.25,,,2.02,
2018-04-25,,,4.83,0.74,12.62,2.6,26.61,29.2,41.77,,,0.71,
2018-04-26,,,2.85,0.0,12.12,3.05,24.11,27.16,,,,0.0,
2018-04-27,,,4.63,0.0,11.46,3.26,45.2,48.46,,,,0.04,
2018-04-28,,,5.59,0.0,13.83,3.34,51.58,54.91,,,,0.08,
2018-04-29,,,1.66,0.0,12.3,2.75,21.8,24.55,,,,0.0,
2018-04-30,,,22.49,0.0,11.43,2.89,26.65,29.54,,,,9.25,
2018-05-01,,,2.15,0.0,13.59,2.63,32.56,35.18,,,,4.44,
2018-05-02,,,1.58,0.0,12.08,2.38,32.6,34.97,,,,3.95,
2018-05-03,,,1.48,0.0,11.45,2.49,34.32,36.8,,,,3.58,
2018-05-04,,,1.16,0.0,10.7,2.54,29.82,32.36,,,,3.34,
2018-05-05,,,0.82,0.0,8.76,2.91,22.13,24.95,,,,3.08,
2018-05-06,,,0.6,0.0,8.88,3.01,17.74,20.75,,,,2.53,
2018-05-07,,,1.22,0.0,7.52,3.97,25.31,29.28,,,,2.97,
2018-05-08,,,1.49,0.0,6.72,3.82,28.31,32.13,,,,3.41,
2018-05-09,,,1.18,0.0,7.18,3.45,24.03,27.48,,,,2.96,
2018-05-10,,,1.72,0.0,7.13,3.36,30.86,34.21,,,,3.9,
2018-05-11,,,1.58,0.0,12.93,3.07,27.36,30.43,,,,3.48,
2018-05-12,,,2.83,0.0,13.52,2.48,31.14,33.61,,,,4.04,
2018-05-13,,,0.84,0.0,10.73,2.67,25.65,28.33,,,,2.97,
2018-05-14,,,1.77,0.0,9.51,21.5,56.9,78.4,,,,3.93,
2018-05-15,,,2.28,0.0,9.95,32.22,43.52,75.73,,,,4.56,
2018-05-16,,,2.6,0.0,12.26,3.23,36.86,40.09,,,,4.34,
2018-05-17,,,2.26,0.0,14.27,2.85,39.0,41.84,,,,3.91,
2018-05-18,8.61,,1.49,0.0,12.16,5.64,38.34,43.98,,,,3.37,
2018-05-19,,8.61,2.92,0.0,14.51,13.52,47.27,51.04,,27.5,7.86,4.27,
2018-05-20,,,0.83,0.0,10.75,,,25.46,,,,2.57,
2018-05-21,,,1.06,0.0,10.61,,,33.63,,,,2.72,
2018-05-22,,,1.83,0.0,4.65,,,31.32,,,,3.21,
2018-05-23,,,1.17,0.0,10.06,,,36.12,,,,2.7,
2018-05-24,,,0.84,0.0,8.93,,,27.38,,,,2.57,
2018-05-25,,,0.68,0.0,8.06,,,25.35,,,,2.35,
2018-05-26,,,0.72,0.0,7.29,,,30.32,,,,2.14,
2018-05-27,,,0.59,0.0,7.67,,,27.47,,,,1.79,
2018-05-28,,,0.84,0.0,6.53,,,33.75,32.79,,,2.16,
2018-05-29,,,1.03,0.0,8.94,,,38.24,,,,2.25,
2018-05-30,,,0.77,0.0,7.24,,,28.37,,,,2.31,
2018-05-31,,,2.92,0.0,6.77,,,38.36,,,,3.63,
2018-06-01,,,3.55,0.0,8.54,,,49.44,,,,4.63,
2018-06-02,,,2.83,0.0,9.32,,,39.98,,,,4.91,
2018-06-03,4.99,,0.96,0.0,7.08,,,25.74,,,,2.26,
2018-06-04,,4.99,2.76,0.0,7.2,58.72,11.72,37.34,21.69,12.03,40.43,4.3,
2018-06-05,,,1.66,0.0,7.45,,,32.56,,,,2.9,
2018-06-06,3.56,,2.11,0.0,8.45,,,38.6,,,,3.68,
2018-06-07,,3.56,2.79,0.0,20.31,31.84,6.67,52.07,47.39,7.12,81.59,11.95,
2018-06-08,,,2.75,0.0,11.43,,,42.55,,,,0.0,
2018-06-09,,,9.21,0.0,10.34,,,64.77,,,,0.0,
2018-06-10,,,3.47,0.0,11.24,,,55.76,,,,0.0,
2018-06-11,,,2.41,0.0,13.38,,,48.7,,,,0.0,
2018-06-12,,,1.8,0.16,10.98,,,45.39,,,,0.0,
2018-06-13,,,1.3,0.0,6.22,,,35.26,,,,0.0,
2018-06-14,51.23,,1.18,0.0,7.07,,,31.07,,,,0.0,
2018-06-15,47.55,51.23,1.13,0.0,10.5,,,34.66,,133.18,,0.0,
2018-06-16,45.04,47.55,2.14,0.72,7.4,6.01,24.89,24.51,27.24,128.66,7.3,0.81,
2018-06-17,50.1,45.04,2.04,1.63,4.9,6.32,40.85,47.18,,107.03,1.34,2.98,
2018-06-18,39.25,50.1,1.97,1.47,8.55,3.23,33.28,36.5,72.28,105.68,3.02,2.62,
2018-06-19,24.44,39.25,1.59,1.35,12.06,2.6,30.86,33.45,81.12,87.24,1.93,2.47,
2018-06-20,31.68,24.44,2.02,1.7,9.14,5.77,38.03,43.79,49.58,53.19,6.88,3.13,
2018-06-21,25.22,31.68,3.76,1.42,6.52,4.46,38.39,43.04,13.47,60.16,1.31,5.52,
2018-06-22,22.95,25.22,1.62,0.39,6.53,0.99,28.1,29.07,30.32,48.96,2.31,2.65,
2018-06-23,24.61,22.95,1.67,0.38,5.38,1.14,25.76,26.85,22.84,44.58,1.06,2.63,
2018-06-24,28.6,24.61,1.51,0.4,3.96,0.86,25.49,26.32,23.13,46.54,1.1,2.28,
2018-06-25,30.5,28.6,2.58,0.41,3.62,1.95,43.45,45.37,13.56,45.36,1.11,4.17,
2018-06-26,22.66,30.5,2.05,0.38,3.19,1.27,37.12,38.33,34.84,46.08,2.29,4.41,
2018-06-27,24.4,22.66,3.21,0.38,3.68,2.13,29.53,31.65,20.27,33.83,1.22,5.41,
