Date,NextDayPM2.5,PM2.5,Benzene,CO,NH3,NO,NO2,NOx,O3,PM10,SO2,Toluene,Xylene
2019-08-27,18.42,28.43,0.31,0.35,3.66,1.27,3.56,1.39,32.93,37.88,4.99,,
2019-08-28,18.36,18.42,0.22,0.29,3.64,1.28,3.5,1.33,28.46,26.65,5.15,0.72,
2019-08-29,17.45,18.36,0.12,0.31,3.63,1.33,3.53,1.28,33.5,26.11,5.85,0.55,
2019-08-30,16.96,17.45,0.09,0.34,3.65,1.31,3.49,1.27,27.85,25.16,5.97,0.17,
2019-08-31,8.89,16.96,0.18,0.29,3.65,1.32,3.54,1.29,22.17,25.31,5.86,0.14,
2019-09-01,914.64,8.89,0.1,0.23,3.63,1.31,3.52,1.3,29.69,14.37,5.76,0.73,
2019-09-02,917.77,914.64,0.14,0.23,3.63,1.32,3.61,1.36,27.96,985.0,5.56,0.99,
2019-09-03,274.92,917.77,0.13,0.19,3.64,1.26,3.56,1.4,25.2,985.0,5.55,0.92,
2019-09-04,8.35,274.92,0.26,0.28,3.66,1.28,3.63,1.44,19.11,368.06,5.14,1.42,
2019-09-05,8.32,8.35,0.23,0.25,3.64,1.24,3.57,1.44,20.95,14.68,4.99,1.26,
2019-09-06,4.2,8.32,0.32,0.29,3.65,1.23,3.55,1.44,18.72,16.12,4.93,1.37,
2019-09-07,4.34,4.2,0.14,0.18,3.65,1.23,3.56,1.44,25.14,9.07,5.0,0.77,
2019-09-08,4.94,4.34,0.13,0.18,3.64,1.26,3.57,1.41,28.71,8.67,5.11,0.79,
2019-09-09,9.82,4.94,0.16,0.21,3.65,1.22,3.55,1.45,29.84,10.61,5.14,0.83,
2019-09-10,11.37,9.82,0.19,0.24,3.65,1.21,3.53,1.45,28.78,15.96,5.46,0.86,
2019-09-11,5.79,11.37,0.24,0.29,3.64,1.29,3.54,1.35,25.39,19.57,6.12,0.69,
2019-09-12,7.94,5.79,0.16,0.23,3.65,1.3,3.51,1.32,23.95,10.72,5.69,0.99,
2019-09-13,5.9,7.94,0.28,0.32,3.64,1.27,3.61,1.44,23.52,13.81,5.13,1.18,
2019-09-14,8.57,5.9,0.11,0.17,3.64,1.17,3.49,1.46,34.68,13.28,5.23,0.49,
2019-09-15,9.93,8.57,0.12,0.18,3.64,1.23,3.58,1.46,40.85,16.29,5.27,0.49,
2019-09-16,11.9,9.93,0.14,0.2,3.64,1.19,3.56,1.5,44.41,18.77,5.2,0.49,
2019-09-17,13.02,11.9,0.19,0.23,3.64,1.22,3.55,1.46,29.16,22.69,5.34,0.72,
2019-09-18,13.23,13.02,0.21,0.22,3.66,2.94,5.07,0.96,34.46,23.29,5.4,0.64,
2019-09-19,17.9,13.23,0.26,0.27,3.66,1.42,3.42,1.29,31.21,23.69,5.53,0.82,
2019-09-20,18.81,17.9,0.42,0.32,3.64,1.23,3.56,1.46,24.68,27.86,5.63,1.04,
2019-09-21,14.72,18.81,0.38,0.28,3.66,1.18,3.54,1.48,23.7,27.76,5.69,0.97,
2019-09-22,10.24,14.72,0.4,0.27,3.66,1.21,3.53,1.45,25.26,25.65,5.59,1.17,
2019-09-23,13.24,10.24,0.37,0.35,3.65,1.2,3.59,1.51,31.03,18.57,5.54,1.27,
2019-09-24,8.71,13.24,0.47,0.49,3.66,1.16,3.55,1.52,27.48,22.97,5.49,1.57,
2019-09-25,6.63,8.71,0.4,0.43,3.66,1.15,3.54,1.52,24.93,13.85,5.48,1.44,
2019-09-26,13.14,6.63,0.43,0.4,3.66,1.14,3.52,1.52,25.75,12.66,5.55,1.73,
2019-09-27,8.52,13.14,0.48,0.46,3.66,1.17,3.59,1.55,26.7,21.3,5.66,1.34,
2019-09-28,8.08,8.52,0.21,0.24,3.66,1.15,3.55,1.53,37.11,15.84,5.68,0.49,
2019-09-29,11.79,8.08,0.2,0.26,3.66,1.13,3.54,1.55,33.34,15.48,5.63,0.53,
2019-09-30,5.11,11.79,0.49,0.46,3.67,1.15,3.56,1.54,31.49,20.79,5.68,1.46,
2019-10-01,15.38,5.11,0.26,0.32,3.68,1.16,3.57,1.53,31.71,10.05,5.69,0.8,
2019-10-02,16.97,15.38,0.33,0.29,3.66,1.12,3.58,1.58,38.39,21.8,5.75,0.64,
2019-10-03,17.43,16.97,0.6,0.53,3.67,1.12,3.55,1.57,31.82,26.93,5.87,1.75,
2019-10-04,19.67,17.43,0.48,0.46,3.67,1.13,3.5,1.52,43.49,26.69,5.98,1.35,
2019-10-05,,19.67,0.12,0.29,3.62,1.11,3.5,0.63,41.42,32.09,5.77,0.15,
2019-10-06,,,0.0,0.27,,,,0.0,50.34,31.21,5.5,0.0,
2019-10-07,,,0.0,0.3,,,,0.0,44.83,33.73,5.56,0.0,
2019-10-08,,,0.0,0.29,,,,0.0,40.26,20.9,5.46,0.0,
2019-10-09,,,0.0,0.52,,,,0.0,33.87,27.61,5.55,0.0,
2019-10-10,17.72,,0.0,0.47,,,,0.0,32.71,20.78,5.58,0.0,
2019-10-11,21.02,17.72,0.0,0.44,3.62,1.23,3.63,0.76,29.2,19.46,5.76,0.0,
2019-10-12,17.32,21.02,0.0,0.31,3.66,1.14,3.58,1.58,36.64,34.85,6.14,0.0,
2019-10-13,17.79,17.32,0.0,0.26,3.65,1.16,3.54,1.51,35.77,27.42,6.26,0.0,
2019-10-14,15.29,17.79,3.6,0.31,3.65,1.19,3.55,1.48,35.82,31.72,6.44,3.79,
