Date,NextDayPM2.5,PM2.5,Benzene,CO,NH3,NO,NO2,NOx,O3,PM10,SO2,Toluene,Xylene
2017-06-16,,38.0,,0.71,,2.7,7.1,6.2,18.3,10.0,4.1,,
2017-06-17,,,,,,,,,,,,,
2017-06-18,24.0,,,,,,,,,,,,
2017-06-19,,24.0,,0.73,,0.7,5.2,3.3,19.1,36.0,4.5,,
2017-06-20,24.0,,,,,,,,,,,,
2017-06-21,16.25,24.0,,0.73,,0.7,5.2,3.3,19.1,36.0,4.5,,
2017-06-22,15.08,16.25,,0.84,,2.36,7.97,6.17,15.48,37.12,3.47,,
2017-06-23,11.15,15.08,,0.71,,1.94,5.8,4.65,17.54,31.09,4.65,,
2017-06-24,12.25,11.15,,0.6,,1.87,6.07,4.69,16.65,22.15,4.12,,
2017-06-25,10.06,12.25,,0.56,,1.88,5.22,4.29,18.7,23.53,3.83,,
2017-06-26,13.03,10.06,,0.47,,1.98,4.74,4.13,19.53,22.58,3.73,,
2017-06-27,14.19,13.03,,0.64,,1.9,6.64,5.03,14.46,21.61,4.0,,
2017-06-28,15.81,14.19,,0.64,,1.89,6.95,5.22,15.22,31.38,4.59,,
2017-06-29,14.91,15.81,,0.57,,1.93,5.13,4.3,15.44,38.45,3.77,,
2017-06-30,14.69,14.91,,0.56,,1.89,5.98,4.71,16.46,36.71,3.28,,
2017-07-01,10.59,14.69,,0.68,,2.05,4.08,3.84,13.63,39.71,3.34,,
2017-07-02,10.4,10.59,,0.57,,2.14,1.58,2.57,14.29,27.62,4.14,,
2017-07-03,19.2,10.4,,0.65,,2.05,3.45,3.51,21.13,22.56,4.6,,
2017-07-04,22.43,19.2,,0.66,,2.02,6.88,5.3,19.87,43.69,3.86,,
2017-07-05,19.08,22.43,,0.7,,1.88,5.41,4.38,19.37,68.32,3.49,,
2017-07-06,18.61,19.08,,0.59,,1.9,4.62,3.99,18.33,55.04,3.18,,
2017-07-07,33.78,18.61,,0.65,,1.9,5.92,4.69,16.48,49.78,3.9,,
2017-07-08,14.47,33.78,,0.75,,1.83,8.49,6.0,16.13,47.71,3.98,,
2017-07-09,15.94,14.47,,0.53,,1.93,5.13,4.3,18.74,31.62,3.57,,
2017-07-10,8.74,15.94,,0.68,,1.92,7.1,5.31,17.31,31.78,4.36,,
2017-07-11,17.33,8.74,,0.53,,1.84,5.09,4.21,16.83,18.65,5.05,,
2017-07-12,17.62,17.33,,0.65,,1.9,7.54,5.55,15.24,36.27,4.06,,
2017-07-13,14.44,17.62,,0.63,,1.97,5.82,4.69,15.47,47.88,2.88,,
2017-07-14,19.42,14.44,,0.55,,2.05,6.83,5.3,16.82,46.79,4.29,,
2017-07-15,18.97,19.42,,0.58,,2.08,6.97,5.4,16.23,60.83,3.28,,
2017-07-16,19.72,18.97,,0.51,,2.03,5.2,4.42,15.52,43.6,4.34,,
2017-07-17,17.01,19.72,,0.46,,1.98,6.07,4.83,14.89,52.15,3.32,,
2017-07-18,14.38,17.01,,0.55,,1.99,5.59,4.59,14.13,54.44,4.07,,
2017-07-19,13.47,14.38,,0.47,,1.97,4.62,4.04,14.04,38.51,3.6,,
2017-07-20,7.42,13.47,,0.63,,1.93,4.14,3.72,12.35,35.72,4.36,,
2017-07-21,,7.42,,0.49,,1.99,4.14,3.79,14.18,22.98,3.33,,
2017-07-22,,,,,,,,,,,,,
2017-07-23,14.2,,,,,,,,,,,,
2017-07-24,16.93,14.2,,0.82,,1.96,8.21,5.96,17.67,60.84,4.47,,
2017-07-25,23.75,16.93,,0.64,,2.09,6.06,4.93,17.05,56.6,3.97,,
2017-07-26,20.52,23.75,,0.73,,1.72,8.78,6.05,16.17,67.58,5.0,,
2017-07-27,15.53,20.52,,0.63,,1.82,6.48,4.91,14.58,48.62,4.02,,
2017-07-28,15.07,15.53,,0.58,,1.94,6.61,5.1,17.67,37.17,3.72,,
2017-07-29,24.12,15.07,,0.52,,2.05,5.15,4.39,19.56,32.19,2.91,,
2017-07-30,23.5,24.12,,0.55,,2.06,3.22,3.14,18.43,54.45,3.98,,
2017-07-31,18.25,23.5,,0.72,,2.07,6.58,5.11,12.89,54.37,4.85,,
2017-08-01,15.15,18.25,,0.77,,2.18,4.51,4.17,17.21,41.35,4.49,,
2017-08-02,15.12,15.15,,0.99,,1.9,7.58,5.56,14.17,46.53,4.19,,
2017-08-03,13.43,15.12,,0.98,,1.88,5.82,4.62,14.65,39.14,3.37,,
2017-08-04,10.74,13.43,,0.95,,1.85,7.14,5.29,13.62,31.64,3.93,,
2017-08-05,13.58,10.74,,0.91,,1.94,6.67,5.1,14.84,28.85,4.48,,
2017-08-06,20.1,13.58,,0.9,,1.99,5.42,4.5,16.75,34.99,4.55,,
2017-08-07,13.97,20.1,,0.96,,1.8,8.85,6.14,15.6,48.43,4.86,,
