Date,NextDayPM2.5,PM2.5,Benzene,CO,NH3,NO,NO2,NOx,O3,PM10,SO2,Toluene,Xylene
2016-07-01,,44.92,6.43,1.0,62.45,16.75,56.96,40.24,10.45,82.5,38.67,12.5,3.42
2016-07-02,,,,,,,,,,,,,
2016-07-03,,,,,,,,,,,,,
2016-07-04,17.0,,,,,,,,,,,,
2016-07-05,30.54,17.0,2.96,0.66,15.8,7.32,25.08,17.66,30.54,68.0,20.08,7.8,3.12
2016-07-06,35.33,30.54,5.98,0.99,13.88,17.73,44.73,35.0,30.3,77.06,9.0,11.53,7.37
2016-07-07,40.64,35.33,4.87,0.84,12.06,16.95,44.35,34.22,25.24,84.31,5.07,9.37,4.74
2016-07-08,33.25,40.64,6.46,1.07,11.91,28.48,52.89,47.01,16.24,92.73,6.57,12.2,6.81
2016-07-09,26.64,33.25,5.51,1.0,12.77,23.32,45.37,39.49,18.38,77.65,8.79,9.55,5.84
2016-07-10,23.92,26.64,4.12,0.88,12.82,11.03,36.51,26.0,27.98,69.68,9.97,6.82,3.48
2016-07-11,28.42,23.92,3.87,0.89,12.46,13.89,39.01,29.35,24.73,70.52,9.72,7.32,3.62
2016-07-12,35.71,28.42,5.19,1.09,13.49,11.59,42.76,29.47,27.01,84.49,8.99,7.9,4.1
2016-07-13,37.09,35.71,6.9,1.07,13.12,13.83,48.4,33.88,28.83,75.77,9.33,10.03,5.72
2016-07-14,43.67,37.09,5.24,1.09,13.3,14.05,49.9,34.78,33.36,98.23,9.28,8.33,7.04
2016-07-15,44.76,43.67,6.66,1.02,13.52,12.1,49.19,32.98,26.01,103.08,6.74,11.08,6.43
2016-07-16,41.11,44.76,6.27,1.1,13.58,10.93,47.01,31.05,33.86,111.15,4.76,8.15,5.02
2016-07-17,46.5,41.11,6.08,1.1,13.17,12.29,48.83,32.94,29.34,94.44,7.73,6.32,4.32
2016-07-18,33.54,46.5,4.86,1.09,13.99,14.93,49.36,35.16,39.16,96.07,11.05,7.42,3.35
2016-07-19,11.98,33.54,3.57,1.9,8.69,33.45,65.03,56.61,28.7,80.51,11.57,6.07,5.88
2016-07-20,2.0,11.98,7.58,0.95,16.1,22.54,37.86,35.25,67.74,103.34,19.13,13.45,6.46
2016-07-21,21.8,2.0,2.74,0.7,13.88,3.77,13.46,9.35,49.86,57.56,11.33,6.61,2.04
2016-07-22,27.32,21.8,7.22,1.19,14.99,16.24,56.24,39.49,33.72,85.88,23.29,12.08,7.25
2016-07-23,,27.32,4.59,0.78,14.76,6.98,37.5,23.47,47.74,83.02,18.54,12.49,2.53
2016-07-24,22.75,,5.43,1.2,2.5,19.88,60.35,44.21,40.39,103.9,32.99,9.03,5.17
2016-07-25,23.34,22.75,4.48,0.79,16.37,11.05,37.72,26.61,32.89,58.38,25.13,9.85,2.39
2016-07-26,24.49,23.34,7.2,1.34,13.21,32.99,58.13,52.91,42.77,80.58,31.7,16.74,9.25
2016-07-27,21.85,24.49,6.47,0.94,15.34,24.2,43.69,39.32,28.28,66.8,35.21,11.13,9.81
2016-07-28,23.4,21.85,6.27,0.98,12.91,26.31,31.72,34.93,18.39,68.36,28.09,10.57,5.93
2016-07-29,29.12,23.4,6.81,1.11,11.19,15.24,29.87,25.91,20.92,81.96,31.45,12.52,5.14
